feature,reason,value
ppg_infra_tke_mean,|corr|>=0.95,1.0
ppg_infra_rms,|corr|>=0.95,1.0
ppg_infra_diff_mean,|corr|>=0.95,1.0
ppg_infra_diff_std,|corr|>=0.95,1.0
ppg_infra_diff_rms,|corr|>=0.95,0.9999989077132081
ppg_infra_signal_rms,|corr|>=0.95,0.9999906324637582
ppg_infra_mad,|corr|>=0.95,0.9952575646638226
ppg_infra_range,|corr|>=0.95,0.9942548551023269
ppg_infra_std,|corr|>=0.95,0.9920726013212364
ppg_infra_mean_abs,|corr|>=0.95,0.9909192474244328
ppg_infra_p99,|corr|>=0.95,0.9902543122980111
ppg_infra_p1,|corr|>=0.95,0.9885573954274561
ppg_infra_p90_p10,|corr|>=0.95,0.987025788525411
ppg_infra_dx_std,|corr|>=0.95,0.9851910500350265
ppg_infra_p95_p5,|corr|>=0.95,0.9841423696463253
ppg_infra_p10,|corr|>=0.95,0.9726200512449128
ppg_infra_p99_p1,|corr|>=0.95,0.9670216681950988
ppg_infra_p95,|corr|>=0.95,0.966143257436239
ppg_infra_tke_p95_abs,|corr|>=0.95,0.9661159131931724
ppg_infra_ddx_std,|corr|>=0.95,0.9505817808909593
