,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ppg_infra_hr_range,0.2383617163946081,-0.33558779484125195,-0.20618366847177896,-0.12337476762122448,-0.018894466196151826,0.1541916141727242,0.09738514515455439,-0.09482060507989523,-0.046315033170464655,-0.6142738232756713,0.29995314416733193,0.3176113707166027,-0.030234398608027777,-0.12128468109707795,0.016895054690743525,-0.37945855892015584
ppg_infra_sdnn,-0.23042039846528511,-0.3523336594745356,-0.1089233847995769,-0.07726118396293313,-0.1970861148273465,-0.1277626600012094,0.08611272622286784,-0.2651409296086363,-0.05086573570813242,0.3394167929436579,0.18836073390458183,0.06319850118227198,-0.5833383832817745,-0.04688054138699291,-0.41509639970486706,-0.0010560779898350732
ppg_infra_pnn50,-0.16075874882648744,-0.27186617352702097,0.3524782165645563,-0.1600764990656943,0.14008575725919362,0.22736565979100126,-0.4128725895332356,0.3058864133095528,-0.6403658292844129,0.016430219593959357,0.05594687280938194,-0.011455956533567,-0.026304604119158654,-0.026775024050502413,-0.004689149929968848,-0.00036441928213861384
ppg_infra_hr_std,0.21634563395456352,-0.3854367916405151,-0.01894390695744043,-0.07188411435402013,-0.09562482170166982,-0.026522869782927533,0.14978251759911934,-0.12294547954651619,-0.1110190470418519,-0.06771905225050646,-0.20449156336588528,-0.4249792449250152,0.41071018110232677,0.39571660432141637,-0.43254856727952906,0.0009393317512701585
ppg_infra_rmssd,-0.22117481344440723,-0.37149135632554914,-0.054178848224064206,0.038330217693223735,-0.06577516133868662,-0.07278899780641308,-0.04757238479862452,0.21433119351430444,0.2590818768394936,0.3584283157989085,0.17676706369558165,0.4868905412190379,0.534364413388682,0.034956924817593056,0.012827908334780475,-0.0032526911983762285
ppg_infra_pnn20,-0.11920844846352557,-0.13708787835202305,0.5252462539570528,-0.2048271183871613,0.4661718738324826,0.3784999236605973,0.2281381286228012,-0.27927010051343343,0.3904781870695093,0.02773422159886214,0.05178376349963475,-0.03536485510403215,-0.029752309341017698,0.021720037154803605,0.003003553848887387,0.0008165420622006098
ppg_infra_hr_max,0.390548416753788,-0.1469678685808648,-0.01955240739215713,-0.020033888441334993,0.013641210189845342,0.05187667387655305,0.0932508283873762,0.12967884186006354,0.00019665979575281565,-0.050724703116884526,0.3050034429081658,0.11322129759923628,-0.16067013422605553,0.24089488962357955,0.14166159185361518,0.7644388088285581
ppg_infra_sdsd,-0.21435883125200084,-0.32688204877226557,-0.010728400325725687,0.14499898607641795,-0.006680679197520047,-0.09599190489548039,-0.17974288017035714,0.5242554068033952,0.4793379175474119,-0.30911541859187225,-0.11691585968496296,-0.31314238651174303,-0.2692570401787595,0.009536447657450606,-0.002082632593918333,0.003002122435903815
ppg_infra_mean_ibi,-0.38931598144490714,0.09006629353726903,-0.11660741092766932,-0.02093749541728618,-0.10126630695426166,-0.012233041917679164,-0.05853673571191261,-0.1775015880077508,-0.02187914831234339,-0.0753932201313298,0.6776632862631606,-0.4625836707701385,0.1882071974996418,0.12032444527315612,0.22725810449192022,0.005234767198377292
ppg_infra_n_peaks,0.2770407499389694,-0.08490757606762563,-0.09901023784644752,0.04577629472715285,0.07463668975546318,0.038759653867263946,-0.8067665805350336,-0.4204507873409122,0.24958489411755463,0.07529651124021702,-0.015696342407099138,-0.016941628618889048,0.0008115671655521228,0.027688655748462583,0.006560998751067605,0.01051469676198327
ppg_infra_hr_median,0.3998432518399974,-0.06809584127696766,0.05712562297407487,0.012681082175638495,0.017911232489506736,0.003236882247514191,0.0669590626592877,0.17227416182419686,0.06034715499169583,0.23674614359936316,0.24918645084888277,-0.3264915140253302,0.1406499627409864,-0.7251801416109253,-0.15334789332984997,-0.0023776703929598406
ppg_infra_hr_min,0.3993432969540662,0.02054610282010703,0.10892898992904544,0.05726038922585153,0.03491118226266834,-0.027372641587964576,0.051952439120554805,0.2476306715982652,0.03900648218115619,0.3737608830613983,0.2241543618556539,-0.07912483238714565,-0.21665973596682772,0.44494130630761886,0.21215185482206375,-0.5208869522877863
ppg_infra_hf_power,-0.04723364986411291,-0.13364602062928965,-0.29789380801169807,0.28264174286123983,0.7945368271631974,-0.3679178416054209,0.07310554648809152,-0.0447318977957353,-0.18714186835065869,0.018340327510119336,0.03541197884372433,-0.02542008067462046,-0.0006246911681261344,-0.0032295867412357247,-0.003673837783926747,0.00015339333049707677
ppg_infra_cv_ibi,0.00519734308278656,-0.45092341599604985,-0.047589599705409144,-0.0860798490312898,-0.14773649647553172,-0.09352035173532192,0.14366002871561748,-0.23069530575573166,-0.10118033260498892,0.13771535253461212,-0.31665885929360116,-0.1610023234892254,-0.033798826692951194,-0.16152113892888603,0.7069714914018813,0.009909872075312402
ppg_infra_peak_quality,-0.07121971480845601,0.032710280201258816,-0.6355808924985743,-0.2027375422302539,0.144682173788054,0.6493273847674488,0.030763929527575805,0.1644299332276472,0.022850879337998502,0.22089262805967372,-0.1246061606295877,-0.10711191019717055,-0.03561762097424098,0.02463457004136255,0.001307440650884445,0.007552666688423049
ppg_infra_total_power,-0.02891562881737813,-0.11346883834837196,0.09060969786331896,0.8653300710791264,-0.13691514848958014,0.42295346490828856,0.08048798412817512,-0.12204009168607086,-0.09897553537076352,0.006901513610219321,0.010507860843645926,0.005574178547197521,-0.01117263879823388,-0.012596094987285025,-0.002487884299628217,0.00012573267684240434
