,ppg_infra_n_peaks,ppg_infra_peak_quality,ppg_infra_hr_mean,ppg_infra_hr_std,ppg_infra_hr_min,ppg_infra_hr_max,ppg_infra_hr_range,ppg_infra_hr_median,ppg_infra_rmssd,ppg_infra_sdnn,ppg_infra_pnn50,ppg_infra_pnn20,ppg_infra_mean_ibi,ppg_infra_cv_ibi
ppg_infra_n_peaks,0.0,0.29831157408962705,0.6873870659979964,0.34793279729915577,0.6552743066135743,0.707470498979377,0.5288842433817456,0.6774330439647321,0.38144547324111183,0.3907595250988508,0.4123270645473169,0.4119451551383699,0.6161242377503919,0.052522889957458845
ppg_infra_peak_quality,0.29831157408962705,0.0,0.11737405244350553,0.06774054531483732,0.06222968674486974,0.1711804117015814,0.2794638332208845,0.12192712533005813,0.03432883512990626,0.025775158086777192,0.11283515316384078,0.1840471309522923,0.0058132677540158745,0.015544481831679417
ppg_infra_hr_mean,0.6873870659979964,0.11737405244350553,0.0,0.5427130807498314,0.9708214491974049,0.9746988209538868,0.6230185659604331,0.9928783000040706,0.4936568815015732,0.526079104755186,0.432115252153426,0.392369321338764,0.927868047288487,0.0011800439903688568
ppg_infra_hr_std,0.34793279729915577,0.06774054531483732,0.5427130807498314,0.0,0.3771459229107676,0.6700197716567392,0.8914737921064217,0.5182304858924603,0.24825148316484982,0.27434656686139647,0.1846568137241295,0.020510194448031774,0.5539903058516471,0.7981564347411021
ppg_infra_hr_min,0.6552743066135743,0.06222968674486974,0.9708214491974049,0.3771459229107676,0.0,0.9157289461002269,0.4449600806055327,0.9613247563578524,0.595474607851768,0.6369388152805882,0.5092036038818296,0.4258902522189946,0.9018950848737497,0.17738959826990566
ppg_infra_hr_max,0.707470498979377,0.1711804117015814,0.9746988209538868,0.6700197716567392,0.9157289461002269,0.0,0.7672845152740502,0.9566605696709938,0.3989558894577472,0.42090286808468375,0.3508676834948186,0.33582527643761456,0.9230807429068058,0.1424205716791897
ppg_infra_hr_range,0.5288842433817456,0.2794638332208845,0.6230185659604331,0.8914737921064217,0.4449600806055327,0.7672845152740502,0.0,0.5978830709133949,0.06095467241812124,0.07830529517332661,0.030809800355947638,0.06796971412692245,0.6183075087510822,0.6006333657732204
ppg_infra_hr_median,0.6774330439647321,0.12192712533005813,0.9928783000040706,0.5182304858924603,0.9613247563578524,0.9566605696709938,0.5978830709133949,0.0,0.49372974365563993,0.5281354267108564,0.43403662192795284,0.3989517807832895,0.9131802430351899,0.010592411884893044
ppg_infra_rmssd,0.38144547324111183,0.03432883512990626,0.4936568815015732,0.24825148316484982,0.595474607851768,0.3989558894577472,0.06095467241812124,0.49372974365563993,0.0,0.9342019282171936,0.6404254838821326,0.3619985152163346,0.5240883031307039,0.7229269730955458
ppg_infra_sdnn,0.3907595250988508,0.025775158086777192,0.526079104755186,0.27434656686139647,0.6369388152805882,0.42090286808468375,0.07830529517332661,0.5281354267108564,0.9342019282171936,0.0,0.5960447512393507,0.34062274915383856,0.5510214955443041,0.7810264266079446
ppg_infra_pnn50,0.4123270645473169,0.11283515316384078,0.432115252153426,0.1846568137241295,0.5092036038818296,0.3508676834948186,0.030809800355947638,0.43403662192795284,0.6404254838821326,0.5960447512393507,0.0,0.57161749428402,0.3765897501318675,0.5045997338289419
ppg_infra_pnn20,0.4119451551383699,0.1840471309522923,0.392369321338764,0.020510194448031774,0.4258902522189946,0.33582527643761456,0.06796971412692245,0.3989517807832895,0.3619985152163346,0.34062274915383856,0.57161749428402,0.0,0.3040787359697739,0.24559196549929455
ppg_infra_mean_ibi,0.6161242377503919,0.0058132677540158745,0.927868047288487,0.5539903058516471,0.9018950848737497,0.9230807429068058,0.6183075087510822,0.9131802430351899,0.5240883031307039,0.5510214955443041,0.3765897501318675,0.3040787359697739,0.0,0.03336067902697852
ppg_infra_cv_ibi,0.052522889957458845,0.015544481831679417,0.0011800439903688568,0.7981564347411021,0.17738959826990566,0.1424205716791897,0.6006333657732204,0.010592411884893044,0.7229269730955458,0.7810264266079446,0.5045997338289419,0.24559196549929455,0.03336067902697852,0.0
