,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
ppg_infra_rmssd,0.3448657310531404,-0.22810791979745018,0.16723822066047087,0.058145806620239715,0.22542668546481445,0.1622786110572987,0.17122832317534767,0.27653046643252577,0.2430592683227115,-0.2596988561102414,-0.69865445500006,-0.010234334758165407,-0.000989273764528921
ppg_infra_sdnn,0.34233991905297634,-0.21762430642760539,0.21371179761106388,0.14020275624032416,-0.04920114902845431,-0.08032500553947308,0.3863131646924212,0.26007560236900085,0.17433710051444246,-0.10933708830011189,0.560897864770455,0.4329062463615133,0.0010953080206529903
ppg_infra_mean_ibi,0.3385403370498328,0.2509711814911342,0.18401872820533094,0.0019319343618949738,-0.03480717503346993,-0.21142887220798315,0.07659914340868632,-0.15475974342019239,0.503578112143985,0.6241862284714932,-0.026422411049779767,-0.26249949719489846,-0.001440306161759529
ppg_infra_hr_max,-0.34024337915450203,-0.2812408996951712,-0.03011976661125316,-0.042232611215443513,0.021900469123619412,0.20338663770173152,-0.026722331145096406,0.1307676459056401,0.35847295892301584,0.07587593698048449,0.10996922734931698,-0.1278669953623238,0.761632438115605
ppg_infra_cv_ibi,0.17331455702499704,-0.4414120661148731,0.11585522532608601,0.19380000989274065,-0.18762120867694296,-0.11235395623163065,0.14990671385807314,0.06451473928194727,-0.37487405608875546,0.010156957769673717,0.1252698771724037,-0.7023883986263432,-0.0012429399687011531
ppg_infra_pnn50,0.2946522390466735,-0.1933870690337788,-0.2804999536154978,-0.2915740023325353,0.07683639794833654,-0.4028413538820929,-0.6101935537101101,0.3971113093799815,0.07524280639592583,-0.017138808510735952,0.08867465157708534,-0.006912316419140694,0.0010633177368853531
ppg_infra_n_peaks,-0.30981026007254164,-0.1367300320989252,0.14804104399247986,-0.17708761457800648,0.6492826132417144,-0.5556508431440396,0.2880211197402764,-0.08429949739082819,-0.09454228837996156,0.047775658531474245,-0.02061014501334313,0.0016784093446990628,0.004430816584352735
ppg_infra_hr_min,-0.37601138050650046,-0.13620837851419088,-0.11142671814207046,-0.01748889889171462,0.1376496270855339,0.322058952937508,0.06703321121305317,0.46699779783081796,0.21507044281221085,0.2836427077926803,0.12359808838131446,-0.1491141545768741,-0.5638006394651573
ppg_infra_sdsd,0.3203070021943846,-0.17087276834989512,0.10730344902346207,-0.003936930989950203,0.5746373731104739,0.49330194261438526,-0.2868572195366438,-0.3181317469121004,-0.1467304371268245,0.14843009344698613,0.23676205377790058,0.002867845381083841,0.0008907083131225221
ppg_infra_pnn20,0.20179232990785786,-0.1583741269435785,-0.44626999830665803,-0.6833842902698825,-0.11676577810371716,0.157341826552323,0.43770832767639134,-0.1724674647971256,-0.04873054935949288,0.07439500045547917,-0.01902608843799144,-0.005555299136283434,-0.00022837629270781737
ppg_infra_hr_range,-0.1541932577142381,-0.4397101616554566,0.1324019392026672,-0.0760539690049846,-0.18497553116139723,-0.09070751527080818,-0.1838767928336417,-0.5123134337971194,0.4676031462894665,-0.31217204805267695,0.04381344570743899,-0.028940384309045858,-0.3193495727030385
ppg_infra_hr_std,-0.07558489362340381,-0.4866051804502276,0.024571391127625294,0.14270879179564597,-0.21922188804324044,-0.06516540901182687,-0.08538532395135015,-0.06994148795573389,-0.2407616135614042,0.5625938419581319,-0.2947698291038097,0.4589694023086089,0.005038621363630321
ppg_infra_peak_quality,-0.08040957901954192,0.06799243331355806,0.7323584250062702,-0.5724994374950577,-0.19321869450438367,0.11486172608432647,-0.1327655930481093,0.1716922646282983,-0.1628682536468861,0.023966028509183078,-0.0001709441534662128,0.008176242493891072,0.002815105115013836
