PC,feature,abs_loading
PC1,ppg_infra_hr_min,0.37601138050650046
PC1,ppg_infra_rmssd,0.3448657310531404
PC1,ppg_infra_sdnn,0.34233991905297634
PC1,ppg_infra_hr_max,0.34024337915450203
PC1,ppg_infra_mean_ibi,0.3385403370498328
PC1,ppg_infra_sdsd,0.3203070021943846
PC1,ppg_infra_n_peaks,0.30981026007254164
PC1,ppg_infra_pnn50,0.2946522390466735
PC2,ppg_infra_hr_std,0.4866051804502276
PC2,ppg_infra_cv_ibi,0.4414120661148731
PC2,ppg_infra_hr_range,0.4397101616554566
PC2,ppg_infra_hr_max,0.2812408996951712
PC2,ppg_infra_mean_ibi,0.2509711814911342
PC2,ppg_infra_rmssd,0.22810791979745018
PC2,ppg_infra_sdnn,0.21762430642760539
PC2,ppg_infra_pnn50,0.1933870690337788
PC3,ppg_infra_peak_quality,0.7323584250062702
PC3,ppg_infra_pnn20,0.44626999830665803
PC3,ppg_infra_pnn50,0.2804999536154978
PC3,ppg_infra_sdnn,0.21371179761106388
PC3,ppg_infra_mean_ibi,0.18401872820533094
PC3,ppg_infra_rmssd,0.16723822066047087
PC3,ppg_infra_n_peaks,0.14804104399247986
PC3,ppg_infra_hr_range,0.1324019392026672
PC4,ppg_infra_pnn20,0.6833842902698825
PC4,ppg_infra_peak_quality,0.5724994374950577
PC4,ppg_infra_pnn50,0.2915740023325353
PC4,ppg_infra_cv_ibi,0.19380000989274065
PC4,ppg_infra_n_peaks,0.17708761457800648
PC4,ppg_infra_hr_std,0.14270879179564597
PC4,ppg_infra_sdnn,0.14020275624032416
PC4,ppg_infra_hr_range,0.0760539690049846
PC5,ppg_infra_n_peaks,0.6492826132417144
PC5,ppg_infra_sdsd,0.5746373731104739
PC5,ppg_infra_rmssd,0.22542668546481445
PC5,ppg_infra_hr_std,0.21922188804324044
PC5,ppg_infra_peak_quality,0.19321869450438367
PC5,ppg_infra_cv_ibi,0.18762120867694296
PC5,ppg_infra_hr_range,0.18497553116139723
PC5,ppg_infra_hr_min,0.1376496270855339
PC6,ppg_infra_n_peaks,0.5556508431440396
PC6,ppg_infra_sdsd,0.49330194261438526
PC6,ppg_infra_pnn50,0.4028413538820929
PC6,ppg_infra_hr_min,0.322058952937508
PC6,ppg_infra_mean_ibi,0.21142887220798315
PC6,ppg_infra_hr_max,0.20338663770173152
PC6,ppg_infra_rmssd,0.1622786110572987
PC6,ppg_infra_pnn20,0.157341826552323
PC7,ppg_infra_pnn50,0.6101935537101101
PC7,ppg_infra_pnn20,0.43770832767639134
PC7,ppg_infra_sdnn,0.3863131646924212
PC7,ppg_infra_n_peaks,0.2880211197402764
PC7,ppg_infra_sdsd,0.2868572195366438
PC7,ppg_infra_hr_range,0.1838767928336417
PC7,ppg_infra_rmssd,0.17122832317534767
PC7,ppg_infra_cv_ibi,0.14990671385807314
PC8,ppg_infra_hr_range,0.5123134337971194
PC8,ppg_infra_hr_min,0.46699779783081796
PC8,ppg_infra_pnn50,0.3971113093799815
PC8,ppg_infra_sdsd,0.3181317469121004
PC8,ppg_infra_rmssd,0.27653046643252577
PC8,ppg_infra_sdnn,0.26007560236900085
PC8,ppg_infra_pnn20,0.1724674647971256
PC8,ppg_infra_peak_quality,0.1716922646282983
