PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.4060431501651741,0.4060431501651741
PC2,0.3135012063964146,0.7195443565615887
PC3,0.10871710678664008,0.8282614633482287
PC4,0.06935151910522921,0.8976129824534579
PC5,0.0345588265845964,0.9321718090380543
PC6,0.032059393461327544,0.9642312024993819
PC7,0.0180091652743476,0.9822403677737295
PC8,0.007393602615796101,0.9896339703895256
PC9,0.005997791330841859,0.9956317617203675
PC10,0.003787183321297693,0.9994189450416652
PC11,0.0005810549583347058,0.9999999999999999
