,ppg_infra_n_peaks,ppg_infra_hr_mean,ppg_infra_hr_std,ppg_infra_hr_min,ppg_infra_hr_max,ppg_infra_hr_range,ppg_infra_hr_median,ppg_infra_rmssd,ppg_infra_sdnn,ppg_infra_sdsd,ppg_infra_pnn50,ppg_infra_pnn20,ppg_infra_mean_ibi,ppg_infra_cv_ibi,ppg_infra_lf_power,ppg_infra_hf_power,ppg_infra_lf_hf_ratio,ppg_infra_total_power,ppg_infra_lf_norm,ppg_infra_hf_norm,ppg_infra_peak_quality
ppg_infra_n_peaks,0.0,0.5919980577663442,0.4550283994056417,0.5679222260720034,0.6219801085904989,0.548064844852655,0.5808255887976616,0.3212845262569672,0.39027197822276766,0.28895866264637066,0.20605338577511706,0.05596170381407194,0.5841607667879803,0.08164131689538805,0.027363904892032945,0.06870624701361604,0.0636908531801129,0.03105390609937028,0.06589932457000422,0.06589932457000428,0.010805116042219997
ppg_infra_hr_mean,0.5919980577663442,0.0,0.7900782777565727,0.9712860407513574,0.9738188045719325,0.7575829821602265,0.989554954524062,0.5456129623159586,0.6172683582336064,0.5216375038963658,0.22593167792398652,0.18750795845826895,0.9774986620333225,0.21663453913118674,0.022295514473447287,0.1302440472532312,0.08536863408164991,0.04116336445747809,0.10330544849956046,0.10330544849956046,0.34681628426491334
ppg_infra_hr_std,0.4550283994056417,0.7900782777565727,0.0,0.702724918188513,0.8326684679269611,0.8449025075554315,0.7604844569913012,0.05899130838548034,0.051050384491516825,0.032545925572048454,0.04463183060699368,0.025939514117763338,0.762480166333063,0.7422246006689985,0.178964203782637,0.06728831137926745,0.17797150092131514,0.16128973879475483,0.20341092633029842,0.20341092633029845,0.3678385136746306
ppg_infra_hr_min,0.5679222260720034,0.9712860407513574,0.702724918188513,0.0,0.9438936519249096,0.6446548443508883,0.9660105326141679,0.639120989212384,0.7015796779565839,0.6175406188600487,0.25507030098800165,0.2225386515028859,0.9599312816563251,0.08283400975425738,0.03485925621512739,0.2089375069424913,0.11529193686130823,0.05357971202069133,0.1348716752710057,0.1348716752710058,0.42019597634018707
ppg_infra_hr_max,0.6219801085904989,0.9738188045719325,0.8326684679269611,0.9438936519249096,0.0,0.8607771490479547,0.9579504599920796,0.5094294995392343,0.5608928235496233,0.4775145996839567,0.19825176214411253,0.16059724933587655,0.9617150707232982,0.27330585177015093,0.007059954803909011,0.09229215553692942,0.12375631066096138,0.008142343881217167,0.11851065711370808,0.11851065711370815,0.33036676522075603
ppg_infra_hr_range,0.548064844852655,0.7575829821602265,0.8449025075554315,0.6446548443508883,0.8607771490479547,0.0,0.7289087161798082,0.19574356971122028,0.2183995246855601,0.15502337423805843,0.0659742183705635,0.028772660546799934,0.747775185933435,0.5049618101499681,0.06844628533316319,0.10682900967928724,0.10830895624711304,0.06234635446876914,0.06676743310646936,0.06676743310646936,0.1264044515567832
ppg_infra_hr_median,0.5808255887976616,0.989554954524062,0.7604844569913012,0.9660105326141679,0.9579504599920796,0.7289087161798082,0.0,0.5428238703265197,0.6243239904305251,0.5203052335720143,0.23207126782270063,0.19010224420006047,0.9618149848377278,0.1926302930857104,0.044255815638938184,0.16270936775330153,0.09635489760777685,0.06275901960712976,0.09617748268133737,0.09617748268133747,0.34401895217167977
ppg_infra_rmssd,0.3212845262569672,0.5456129623159586,0.05899130838548034,0.639120989212384,0.5094294995392343,0.19574356971122028,0.5428238703265197,0.0,0.8735773074310137,0.9906933869468881,0.5046677881724584,0.2838641280537085,0.559632001748582,0.5407386156185365,0.24364836886430502,0.38362754808507576,0.04923538853983448,0.318461404994957,0.008659528287820083,0.008659528287820089,0.08326255124138764
ppg_infra_sdnn,0.39027197822276766,0.6172683582336064,0.051050384491516825,0.7015796779565839,0.5608928235496233,0.2183995246855601,0.6243239904305251,0.8735773074310137,0.0,0.8588935989506065,0.408704167466819,0.2554274352491138,0.6470969092858854,0.6128000541082779,0.21948382716594286,0.3214018541226122,0.005718752510963091,0.23271591009175033,0.04130884309433718,0.041308843094337175,0.10340493352795975
ppg_infra_sdsd,0.28895866264637066,0.5216375038963658,0.032545925572048454,0.6175406188600487,0.4775145996839567,0.15502337423805843,0.5203052335720143,0.9906933869468881,0.8588935989506065,0.0,0.49087846108070776,0.26750336366432703,0.5278898594362329,0.5533505750411343,0.27125734155348763,0.3699712791552274,0.08707586049861643,0.3503525887838371,0.03340444511033706,0.03340444511033702,0.06138006463962295
