,ppg_infra_n_peaks,ppg_infra_hr_mean,ppg_infra_hr_std,ppg_infra_hr_min,ppg_infra_hr_max,ppg_infra_hr_range,ppg_infra_hr_median,ppg_infra_rmssd,ppg_infra_sdnn,ppg_infra_pnn50,ppg_infra_pnn20,ppg_infra_mean_ibi,ppg_infra_cv_ibi,ppg_infra_peak_quality
ppg_infra_n_peaks,0.0,0.616956335972157,0.24336384394418947,0.6001378458162473,0.6084537053027106,0.33804631518212536,0.6126564475308799,0.27941778724227867,0.28918729281633,0.20852486701342887,0.20036780284055558,0.5811654746856291,0.04122455997491821,0.04687563411746204
ppg_infra_hr_mean,0.616956335972157,0.0,0.47052409825150476,0.964974098597637,0.9756023567432521,0.535857073103939,0.9918185206671553,0.38052765068924865,0.38335228423261936,0.31066306504278557,0.2526027801537972,0.933911123649101,0.03301280061173341,0.1496765268750071
ppg_infra_hr_std,0.24336384394418947,0.47052409825150476,0.0,0.261116112119523,0.6145908323757726,0.9159413307123768,0.4557377303326066,0.46599787638695594,0.5051877337754932,0.31986946243090336,0.14851464631772465,0.4479853986897942,0.8629521532223353,0.0638534809266554
ppg_infra_hr_min,0.6001378458162473,0.964974098597637,0.261116112119523,0.0,0.9021165669373017,0.31587149983222856,0.9502914582778909,0.5182122469450199,0.5327901422555327,0.4168497815402907,0.3121831888565517,0.9071256128880522,0.17801232901626496,0.19126557639290043
ppg_infra_hr_max,0.6084537053027106,0.9756023567432521,0.6145908323757726,0.9021165669373017,0.0,0.6943514422520276,0.9557490722449711,0.2540388780087138,0.250040414235492,0.21151670236562836,0.19114259941109268,0.9169876955385867,0.18936936113950464,0.09327885612608394
ppg_infra_hr_range,0.33804631518212536,0.535857073103939,0.9159413307123768,0.31587149983222856,0.6943514422520276,0.0,0.5167114322714363,0.3059118813146313,0.33895744135507655,0.2300362954357587,0.09991268049001478,0.5032296047246093,0.7133296416993467,0.11571663620950354
ppg_infra_hr_median,0.6126564475308799,0.9918185206671553,0.4557377303326066,0.9502914582778909,0.9557490722449711,0.5167114322714363,0.0,0.38050741540468064,0.38240775957842504,0.3103185669001371,0.25270720640996586,0.9204966188499394,0.030965718429644525,0.14862042580442486
ppg_infra_rmssd,0.27941778724227867,0.38052765068924865,0.46599787638695594,0.5182122469450199,0.2540388780087138,0.3059118813146313,0.38050741540468064,0.0,0.9568767726698344,0.5881813753982572,0.345951741776824,0.40894029954812977,0.8151955139551755,0.08690596615306946
ppg_infra_sdnn,0.28918729281633,0.38335228423261936,0.5051877337754932,0.5327901422555327,0.250040414235492,0.33895744135507655,0.38240775957842504,0.9568767726698344,0.0,0.5392608226297196,0.3063763097902913,0.41926202512036637,0.8616296926472994,0.07189252098787496
ppg_infra_pnn50,0.20852486701342887,0.31066306504278557,0.31986946243090336,0.4168497815402907,0.21151670236562836,0.2300362954357587,0.3103185669001371,0.5881813753982572,0.5392608226297196,0.0,0.5359086150292763,0.25437707801796533,0.5136079730244995,0.012724024968869705
ppg_infra_pnn20,0.20036780284055558,0.2526027801537972,0.14851464631772465,0.3121831888565517,0.19114259941109268,0.09991268049001478,0.25270720640996586,0.345951741776824,0.3063763097902913,0.5359086150292763,0.0,0.19359829992429842,0.2789762321279183,0.09209908729357397
ppg_infra_mean_ibi,0.5811654746856291,0.933911123649101,0.4479853986897942,0.9071256128880522,0.9169876955385867,0.5032296047246093,0.9204966188499394,0.40894029954812977,0.41926202512036637,0.25437707801796533,0.19359829992429842,0.0,0.025717591882553972,0.20538117424005295
ppg_infra_cv_ibi,0.04122455997491821,0.03301280061173341,0.8629521532223353,0.17801232901626496,0.18936936113950464,0.7133296416993467,0.030965718429644525,0.8151955139551755,0.8616296926472994,0.5136079730244995,0.2789762321279183,0.025717591882553972,0.0,0.012023101467590709
ppg_infra_peak_quality,0.04687563411746204,0.1496765268750071,0.0638534809266554,0.19126557639290043,0.09327885612608394,0.11571663620950354,0.14862042580442486,0.08690596615306946,0.07189252098787496,0.012724024968869705,0.09209908729357397,0.20538117424005295,0.012023101467590709,0.0
