,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ppg_infra_n_peaks,0.338828113011367,-0.08812622963898359,0.028834948602706346,-0.2605982219345133,0.8724877994277955,0.20095850965723355,-0.052795527616519046,-0.05455608539313285,0.03591962900907429,0.003575729099846879,0.0006061484425425616
ppg_infra_hr_std,0.3026933174927185,0.3978203076827128,0.04230271629756632,0.14913485389821826,-0.08866356299842333,0.058333713176621754,-0.1966962632841077,-0.08951848356493744,0.5071191182446637,0.6410507584917217,0.0014596056961386735
ppg_infra_hr_min,0.43157050107328315,-0.1879616817676445,-0.10383370650580061,-0.04623012873453676,-0.13476434617068034,-0.10727808632523934,0.47124093523304134,0.31539525956654246,0.28177654745513014,-0.1113838218826937,-0.5678750402220427
ppg_infra_hr_max,0.4793119948734611,0.01047960810730258,0.004936527107997036,-0.05863812761898499,-0.1579596846723252,-0.05420500858366369,0.13090603102046053,0.37864918465529346,-0.01690884664797143,-0.13171179383077708,0.7487672838804609
ppg_infra_hr_range,0.33422375069977567,0.3365149204870655,0.18559975043135546,-0.05285310628649621,-0.12111030288216595,0.059854515931827765,-0.49656689018681754,0.3054941759042507,-0.5027905697623292,-0.09997695666988624,-0.34185097508077733
ppg_infra_rmssd,-0.13135219535085607,0.4579214413385854,0.09818788263159027,0.228548690462734,0.19455686034399192,0.13234021607249496,0.6389984442133892,0.14057731993560305,-0.3978663203642816,0.26350383220390705,0.0001112663693907486
ppg_infra_pnn50,-0.1198170102829988,0.3871064923902402,-0.22719069897991184,-0.3174634217477402,0.18382337309926658,-0.802290261258548,-0.016294521990196258,0.05419624508468213,0.043816458607682816,-0.0284690324362336,4.070086587862402e-05
ppg_infra_pnn20,-0.11863673262535897,0.26826568864610106,-0.45512624235302346,-0.6476694254188837,-0.21358768660625754,0.4842225084840863,0.07621661093419696,0.0008071467403950997,0.03688881913032584,-0.0090398207007827,-2.5897496246075106e-05
ppg_infra_mean_ibi,-0.4541109141353269,0.07661231146110238,0.1371278092192119,0.07758808755454023,0.18688939787376962,0.15468539959901098,-0.16314735310380163,0.7207143156223768,0.3844330501198645,-0.10197873595299446,0.00021894877848053324
ppg_infra_cv_ibi,0.0968499491113263,0.4970927694176623,0.0706790197000699,0.2572566741124543,0.03215993354966614,0.12920651068758596,0.05805352048658342,-0.3098369113564653,0.2945163842659586,-0.6844739687495076,-0.0003530468410269934
ppg_infra_peak_quality,-0.06777049163173797,0.02846809560975556,0.8123607697950844,-0.5067387256086798,-0.14106170055479117,-0.04366454383781677,0.16840238372759644,-0.12126872889936284,0.11380133919450518,0.0077874699183835645,0.0008479189846736458
