feature,reason,value
ppg_red_tke_mean_abs,|corr|>=0.95,1.0
ppg_red_diff_mean,|corr|>=0.95,1.0
ppg_red_rms,|corr|>=0.95,1.0
ppg_red_diff_std,|corr|>=0.95,1.0
ppg_red_signal_rms,|corr|>=0.95,0.9999998290985349
ppg_red_diff_rms,|corr|>=0.95,0.9999959134856773
ppg_red_iqr,|corr|>=0.95,0.9993766344051425
ppg_red_p10,|corr|>=0.95,0.9930449592577635
ppg_red_p95,|corr|>=0.95,0.9924873926643007
ppg_red_p90_p10,|corr|>=0.95,0.9921747582943229
ppg_red_p95_p5,|corr|>=0.95,0.990923821769999
ppg_red_p99_p1,|corr|>=0.95,0.9893109521872903
ppg_red_std,|corr|>=0.95,0.9880374331751515
ppg_red_p1,|corr|>=0.95,0.9868518523848006
ppg_red_range,|corr|>=0.95,0.9803105891662248
ppg_red_max,|corr|>=0.95,0.9759509176822505
ppg_red_dx_std,|corr|>=0.95,0.9747869507619231
ppg_red_tke_mean,|corr|>=0.95,0.9716144788017721
ppg_red_p5,|corr|>=0.95,0.9686654721303968
ppg_red_tke_p95_abs,|corr|>=0.95,0.9578935626449959
ppg_red_mean_cross_rate,|corr|>=0.95,0.9551927644623618
ppg_red_mean_abs,|corr|>=0.95,0.9526958039760541
ppg_red_tke_std,|corr|>=0.95,0.950484147422193
