PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.37288916291501206,0.37288916291501206
PC2,0.21473748526029443,0.5876266481753065
PC3,0.11855222144504564,0.7061788696203521
PC4,0.07733035250951466,0.7835092221298668
PC5,0.05278814795664297,0.8362973700865098
PC6,0.045182500721659365,0.8814798708081693
PC7,0.039144324522392714,0.920624195330562
PC8,0.02315568393925938,0.9437798792698213
PC9,0.016265209865012117,0.9600450891348334
PC10,0.012221493782956757,0.9722665829177902
PC11,0.007018978230267582,0.9792855611480578
PC12,0.006208579045991378,0.9854941401940491
PC13,0.004982860286685466,0.9904770004807346
PC14,0.0036909732250949155,0.9941679737058295
PC15,0.0020858674210549495,0.9962538411268845
PC16,0.0017510248902333444,0.9980048660171179
PC17,0.000639259561322976,0.9986441255784408
PC18,0.000538459568191388,0.9991825851466323
PC19,0.0003850361190771731,0.9995676212657094
PC20,0.0003196861330266195,0.999887307398736
PC21,0.00011269260126412693,1.0000000000000002
