feature,nan_ratio,variance
ppg_red_mean,0.0,7306.312417339769
ppg_red_std,0.0,3965599.866356006
ppg_red_p95_p5,0.0,43488680.42647619
ppg_red_p99_p1,0.0,105880781.1200625
ppg_red_trim_mean_10,0.0,12366.60800543874
ppg_red_mean_abs,0.0,2174566.2609924567
ppg_red_rms,0.0,3969102.893052152
ppg_red_crest_factor,0.0,1.3523313266582124
ppg_red_shape_factor,0.0,0.11185349853531859
ppg_red_impulse_factor,0.0,10.887757519342665
ppg_red_clearance_factor,0.0,70.88357368789204
ppg_red_mean_cross_rate,0.0,0.0008550156180085547
ppg_red_tke_mean,0.0,1574848127629.2107
ppg_red_tke_std,0.0,28273230924580.64
ppg_red_tke_mean_abs,0.0,1574848127629.2107
ppg_red_tke_p95_abs,0.0,1600051.7819984849
ppg_red_dx_mean,0.0,161.77881678581196
ppg_red_dx_std,0.0,374904.1069671278
ppg_red_ddx_mean,0.0,13.998125842106742
ppg_red_ddx_std,0.0,326920.309358857
ppg_red_dx_kurtosis,0.0,154.40538734763578
ppg_red_p90_p10,0.0,24130582.402745754
ppg_red_p99,0.0,27963090.703829322
ppg_red_p95,0.0,11350670.907548148
ppg_red_diff_mean,0.0,161.77881678581196
ppg_red_min,0.0,46060715.582716845
ppg_red_max,0.0,47725561.82146898
ppg_red_range,0.0,177576565.9990825
ppg_red_median,0.0,29724.844553545627
ppg_red_iqr,0.0,5373403.286673185
ppg_red_mad,0.0,1336884.3187146161
ppg_red_skew,0.0,0.7943160683668347
ppg_red_kurtosis,0.0,22.54681643266467
ppg_red_diff_std,0.0,374904.1069671278
ppg_red_p90,0.0,6190787.466928093
ppg_red_diff_mean_abs,0.0,147933.81816667825
ppg_red_diff_rms,0.0,374971.11351622816
ppg_red_signal_rms,0.0,3969102.893052152
ppg_red_signal_energy,0.0,1.9586941808171913e+19
ppg_red_zcr,0.0,0.0008136101297819839
ppg_red_p1,0.0,27432458.215317275
ppg_red_p5,0.0,10842267.024873948
ppg_red_p10,0.0,6037100.796193998
ppg_red_ddx_kurtosis,0.0,396.0372712682635
