,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
ppg_red_mean,-0.027914344509443075,0.01596029890082445,-0.5931187861796745,-0.006724941490001236,-0.23206085098677054,0.14741449629462203,0.10577679371709059,0.08003673141178136,0.2958645913011438,0.07377202856635016,-0.20151850085077108,0.17605341225545948,0.21877139132335655,-0.49978975882192306,-0.18939680533909234,-0.01498462272695322,0.03146891147490434,-0.09565873724611572,-0.0627470198070575,0.019158597709287604,-0.19502067563164896,-0.04470229314630164,0.01771068240146057,0.028875802120541114
ppg_red_max,0.3298020622998268,0.04747737925722253,0.007696781682859282,0.0026034787402356356,-0.14136834177805072,0.08924821044732874,0.03931701163664323,-0.05858681237767507,-0.05345992534487683,0.04718574108410856,-0.2736761250819217,0.4070810608651064,0.11869444480002862,0.14331518324573014,-0.3003419833916774,0.06376079951692418,-0.17776296987143259,0.23180963521152598,0.1742130150696243,0.03700597036888109,0.5833864295375443,0.14720882228545132,-0.00964359457296862,0.047195320798547435
ppg_red_median,-0.041057339660939246,0.029916872156183615,-0.35790861476747204,0.03438168157510597,0.3108691823331848,0.006499417848534754,0.043220411220755504,-0.8212117708365977,-0.2852250465892724,-0.06460584088042706,0.04492313203863606,-0.022758729606180313,0.038323032356700475,-0.049096305125735526,0.016508250127921995,-0.007430835142969306,-0.014408655954683781,0.017020806744330073,-0.02364161884923927,-0.002311234952433844,0.041341327388424,-0.0020245491418057243,-0.0045656223536843545,-0.011583018057247584
ppg_red_iqr,0.3071026508981628,-0.13718901986911253,0.003843418329581614,-0.027810571598185303,-0.019444754288201974,-0.082123937121369,0.06150135395488113,0.0042092763271663275,0.1556154006978656,-0.3734313764128403,0.16352493541520863,-0.28234825534011243,0.13694907579119914,-0.1964302159890133,0.1514540301006948,0.027687547726418616,-0.07975094910021072,0.2147101431016819,-0.33335731823274656,0.4762845164174182,0.18572499799595676,0.013894274765879192,-0.02593755656404171,0.3133515379380869
ppg_red_skew,0.036697877696446154,0.016671535590307117,0.06959517432636124,-0.08609502142535219,-0.7010108977065032,0.3677901091587504,-0.022155799272758663,-0.38528632241587896,0.21070483160100406,0.1462382993081982,0.16389485667942044,-0.17009130251642401,-0.061334518681957065,0.24352786868362136,0.14196167651426042,-0.011594657795618935,-0.0005147187902741336,0.02614029212110932,-0.026982736426512,-0.03171023356816873,-0.04998823554973463,-0.025475961085700275,-0.0014600872282128606,6.151873239297744e-05
ppg_red_kurtosis,0.015082328544989376,0.3992492160372685,0.02617785927177604,0.10134946308632466,-0.02174747191925462,-0.07604065447485055,0.09181266485311304,0.0026333897470416302,0.024062017172275796,-0.10283761003631449,-0.21593521593854162,-0.21670451652327744,0.19999590857431687,0.10853422693903475,-0.053256822328007214,-0.7454500475948874,0.026658293158834213,0.20765538750093654,0.08696759157286572,-0.014264416795294596,-0.096370844097846,-0.003620346255911717,-0.19686066280509776,0.0041961573729973
ppg_red_diff_mean,0.013047077214231614,-0.015543478359121869,-0.06428237596141106,-0.043468641277429124,-0.1605179286744923,-0.721355971198854,-0.5435079813285802,-0.18777425194222278,0.28295928648997454,0.16119150296225956,-0.07782814722314783,0.0480238235432393,-0.0007857727656038012,0.033320356805758324,-0.013818631229335347,-0.0019698805996112493,-0.01533516070244331,0.01861741029553065,-0.017697487837059937,0.006273781469261732,0.0019095314877007556,0.010476345556615207,-0.0011682785982241777,0.00435001609877308
ppg_red_diff_mean_abs,0.3330348031415714,-0.092542125979571,-0.01037823665668337,0.092803888730416,-0.05341974979387508,-0.03843207698475958,0.05804590450493952,-0.029076318182952948,0.054730164094201506,-0.18587120526579226,-0.025810960516537352,0.037254702251967656,-0.3411352251407844,-0.1961954788272471,0.11349262018676262,-0.09952216161563943,-0.023474340940317473,0.0734837225744003,-0.1176175539993443,-0.10444368524791736,-0.10020962636175285,0.5033277489190384,-0.02871991673361249,-0.5925456893313548
ppg_red_signal_energy,0.32573416958689694,-0.07513075955449655,0.005849098067288006,-0.011997760650414418,0.016610756262793337,-0.11567703221073683,0.09469991141873287,0.01663685142912269,0.0709481306846804,-0.06241938329602036,0.2518022302806441,-0.22301217592300113,0.5804853375997728,0.037953480547951106,-0.05646208055587333,0.11909821299435645,0.09915968823993311,-0.18668451817061008,0.10845550601840585,-0.31003248810571443,0.13903975666997018,-0.24437970684861768,-0.04510821660152139,-0.39201162670523965
ppg_red_zcr,-0.08480720618458361,-0.051746314616925804,0.0187601985187241,0.6812698033116329,-0.07053762135270475,-0.017457070689815606,-0.0012640592611972007,-0.021499003039679422,0.045854014123062115,0.004368687298122137,0.17642910350749416,0.0935570081005312,0.01565296061155085,-0.00029077772834854536,-0.1124135883672876,0.12089619003712654,0.5758938178850054,0.33384342645738274,0.06065841635651022,0.055770944528749415,-0.0010210901294391832,-7.209979075110564e-05,0.004479166807099556,0.022130507525379723
