PC,feature,abs_loading
PC1,ppg_red_p1,0.341969836055159
PC1,ppg_red_ddx_std,0.337137101070752
PC1,ppg_red_tke_mean,0.33444716922681217
PC1,ppg_red_p5,0.33360565891446897
PC1,ppg_red_diff_mean_abs,0.33303480314157186
PC1,ppg_red_max,0.3298020622998267
PC1,ppg_red_signal_energy,0.325734169586897
PC1,ppg_red_iqr,0.30710265089816313
PC2,ppg_red_impulse_factor,0.41474334066417307
PC2,ppg_red_kurtosis,0.3992492160372681
PC2,ppg_red_shape_factor,0.38866218890591475
PC2,ppg_red_clearance_factor,0.38402814876546487
PC2,ppg_red_crest_factor,0.38061094145378266
PC2,ppg_red_dx_kurtosis,0.2991351438576213
PC2,ppg_red_ddx_kurtosis,0.2742483674388955
PC2,ppg_red_iqr,0.1371890198691125
PC3,ppg_red_mean,0.5931187861796736
PC3,ppg_red_trim_mean_10,0.5912510580150409
PC3,ppg_red_ddx_mean,0.3814081058143286
PC3,ppg_red_median,0.3579086147674723
PC3,ppg_red_tke_std,0.07413375137515418
PC3,ppg_red_skew,0.0695951743263615
PC3,ppg_red_diff_mean,0.06428237596141169
PC3,ppg_red_dx_kurtosis,0.04121150591839706
PC4,ppg_red_zcr,0.6812698033116324
PC4,ppg_red_mean_cross_rate,0.6689179768561944
PC4,ppg_red_tke_mean,0.11901811925754298
PC4,ppg_red_ddx_std,0.11490130239763158
PC4,ppg_red_tke_std,0.107608304963393
PC4,ppg_red_crest_factor,0.10390826729908202
PC4,ppg_red_kurtosis,0.10134946308632457
PC4,ppg_red_diff_mean_abs,0.09280388873041626
PC5,ppg_red_skew,0.7010108977065022
PC5,ppg_red_ddx_mean,0.4449225993375661
PC5,ppg_red_median,0.3108691823331833
PC5,ppg_red_mean,0.23206085098677068
PC5,ppg_red_trim_mean_10,0.21901943085939848
PC5,ppg_red_diff_mean,0.16051792867449305
PC5,ppg_red_max,0.14136834177805094
PC5,ppg_red_ddx_kurtosis,0.1289656492749785
PC6,ppg_red_diff_mean,0.7213559711988548
PC6,ppg_red_skew,0.36779010915875304
PC6,ppg_red_ddx_kurtosis,0.28972748155241723
PC6,ppg_red_dx_kurtosis,0.28446252048937914
PC6,ppg_red_clearance_factor,0.18706617140094622
PC6,ppg_red_ddx_mean,0.1837712359162239
PC6,ppg_red_shape_factor,0.16040881281107033
PC6,ppg_red_mean,0.1474144962946227
PC7,ppg_red_diff_mean,0.5435079813285824
PC7,ppg_red_dx_kurtosis,0.5002703529281183
PC7,ppg_red_ddx_kurtosis,0.48798098216595787
PC7,ppg_red_clearance_factor,0.24646138008840834
PC7,ppg_red_shape_factor,0.22105443440481445
PC7,ppg_red_impulse_factor,0.14643979809478327
PC7,ppg_red_ddx_mean,0.10651224930400709
PC7,ppg_red_mean,0.10577679371709157
PC8,ppg_red_median,0.8212117708366029
PC8,ppg_red_skew,0.38528632241587374
PC8,ppg_red_ddx_mean,0.24953733099652722
PC8,ppg_red_trim_mean_10,0.2056575226470437
PC8,ppg_red_diff_mean,0.18777425194220881
PC8,ppg_red_p5,0.08564654889831887
PC8,ppg_red_mean,0.0800367314117837
PC8,ppg_red_tke_std,0.07880648807752577
