,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
ppg_red_max,0.34413493934603173,-0.016946139236274853,0.012747263428130496,-0.02473370139549062,0.15183210710208705,0.08198202224411316,0.06793572509094507,-0.006937489264049808,0.07713623943708474,-0.07829300436188869,-0.06455337718796342,-0.004613698196763209,-0.06715022345457701,-0.008466591657273629,-0.014358130726967644,-0.4135883068388286,0.6608884877884385,0.004611905373628329,0.3865246955796772,-0.16402650318930964,0.1854185994912429,0.011963739209417327,0.07960972315201315
ppg_red_median,0.0007882716776542109,0.001296578470705289,-0.04368760358403553,0.5912392993225951,-0.28477284684302984,-0.04859942174113986,-0.04166674916719234,-0.0695888200036787,0.3709497902772963,0.02653799700931706,0.592647356554614,-0.05732772284132388,-0.06149863925248041,-0.02125129779789865,0.014701063099032328,-0.05094751933552258,0.08741296351080509,-0.008549395910140409,0.08591083069597177,0.01895813993329231,-0.20707404201626708,0.003323195875542756,0.016529928151620885
ppg_red_iqr,0.3231203746028469,-0.10793722447919388,0.05508249750750919,0.02415782538851208,-0.02574772062875456,0.18647185466884567,0.02327969436426494,-0.2924742006535908,-0.008728145623801914,-0.0010600067186973636,0.034179463459351404,0.027256204842622297,0.15829212127258985,0.07161366663493592,-0.01440146774633722,0.3128929368943036,-0.2465948340830722,0.53850747941604,0.24257484503852364,-0.40538587738920184,0.031441505289116,-0.17800231388168644,0.14789042156287813
ppg_red_skew,0.05117855450841702,-0.1081511809707774,0.09832644884566755,-0.18381625403285434,0.6785866381101241,-0.13705108918948317,0.31502682286814243,0.15147718066254678,0.4401354057953714,0.13023073476792213,0.3124497491929417,0.030513021968323464,0.053282599783085215,0.029833336023218655,0.026712687636304553,0.11050587671142609,-0.10154719989082092,-0.0022577034417951836,-0.060186799478553,0.021104606797175084,0.018985221996479257,0.008255691467619309,-0.00865093872007002
ppg_red_kurtosis,0.019562993996317588,0.4235305813296101,0.023771492221232968,-0.005268363600716206,0.03174120166581122,0.12824566953163635,0.0007053907703049921,0.013928444846104204,0.03073209408317514,-0.23529937396033657,0.027932145700378698,0.03639408411203038,0.16034782267066505,-0.06429236131141733,0.5060893280747646,0.4769502318211743,0.3346025789725014,-0.08833146213716934,-0.04280780300768136,0.15048192843179886,0.014595881348305148,-0.2916905801224561,0.02438033704077029
ppg_red_diff_mean_abs,0.3466407467569691,-0.031536005559424575,-0.1033816402267011,-0.011343360776330235,0.022570940219965654,0.054210645860424476,0.013077806489377853,-0.08472189694200755,0.010835883418155258,-0.0156451048333369,-0.04049095605928968,-0.35688811770987966,-0.2026955713363749,-0.03676048500704222,0.06561899230578881,0.07989731203418073,-0.04822639867966981,-0.3264468570497155,-0.18463804816429039,-0.3977553713217711,-0.14625707461157825,-0.09283551855575901,-0.5861157133619922
ppg_red_signal_energy,0.3314096047521672,-0.055054480077452214,-0.00828778079803379,0.02961435447076391,-0.06885490323819332,0.13585725610829438,-0.03597477734207988,0.03589481732344058,-0.014419872052373465,-0.04728740340562418,0.05529563887019738,0.5420023979673068,0.3365530208515502,0.10075294910062663,-0.11621597309214497,0.027659380975263135,-0.20530715522734766,-0.3569721163294821,0.30309385125967875,0.23742577921374494,0.0468158114885016,0.03711743646747705,-0.31947646932992635
ppg_red_zcr,-0.04042812565341538,0.0928595488704366,-0.6388314724575512,-0.05731350096490445,0.05729455591988539,-0.042821948762368715,0.08246035838435863,-0.1841232330222065,0.015322642175519666,0.1361069093211893,0.008869351386248813,0.11748430646047506,-0.017564599477867655,-0.31960159338991434,-0.48382699740569246,0.32715897412914796,0.2339400362587594,0.0003761759309567358,-0.017265318374622203,0.030182081539191778,0.004759912005791816,0.011370267436630202,0.015142584818029967
ppg_red_p10,-0.3326131262886636,0.08037687554295703,-0.036464942881335984,0.03830975008877574,0.1041924896356455,-0.1763648922438374,0.02538314009614403,0.23267397195627842,0.014897954816631462,0.038088840860846934,-0.2455953869864243,0.008267135308347301,-0.01666268570353374,0.0701279761972385,0.012359528336691539,0.09594292392441485,-0.0049083687132869275,-0.005467028276472699,0.5871775368474084,-0.1855681075794263,-0.5534643400241437,-0.08563990673885938,-0.11761438946496247
ppg_red_p90,0.3316769069531821,-0.076204691729205,0.04359470313723996,0.05284201824866375,0.12889478473583332,0.16872566149744755,0.07122704449444456,-0.2268816806752621,0.03881129314017108,-0.02219841228658002,-0.24872819402094237,0.007597417133139349,0.07895838816534331,-0.05178235290086409,-0.0017048816982409094,-0.11825962908396787,0.06475827983625755,0.07687819896126855,-0.253133463211312,0.3276421341737192,-0.683537768986786,0.08787627384974853,0.1858955499307448
