,ppg_red_mean,ppg_red_std,ppg_red_min,ppg_red_max,ppg_red_range,ppg_red_median,ppg_red_iqr,ppg_red_mad,ppg_red_skew,ppg_red_kurtosis,ppg_red_diff_mean,ppg_red_diff_std,ppg_red_diff_mean_abs,ppg_red_diff_rms,ppg_red_signal_rms,ppg_red_signal_energy,ppg_red_zcr,ppg_red_p1,ppg_red_p5,ppg_red_p10,ppg_red_p90,ppg_red_p95,ppg_red_p99,ppg_red_p90_p10,ppg_red_p95_p5,ppg_red_p99_p1,ppg_red_trim_mean_10,ppg_red_mean_abs,ppg_red_rms,ppg_red_crest_factor,ppg_red_shape_factor,ppg_red_impulse_factor,ppg_red_clearance_factor,ppg_red_mean_cross_rate,ppg_red_tke_mean,ppg_red_tke_std,ppg_red_tke_mean_abs,ppg_red_tke_p95_abs,ppg_red_dx_mean,ppg_red_dx_std,ppg_red_ddx_mean,ppg_red_ddx_std,ppg_red_dx_kurtosis,ppg_red_ddx_kurtosis
ppg_red_mean,0.0,0.053292628106094087,0.005508831099392979,0.011552687711072374,0.0056244515128542494,0.019975944704298542,0.113494981895065,0.11174563242085434,0.005358652795528098,0.0626154971372454,0.016013264257114197,0.0649220796252065,0.11086095497071956,0.06487047941763326,0.05329608480561317,0.018189526956639404,0.008045722120028666,0.029924737448421047,0.1372097474431668,0.1479704879537265,0.10634674782079563,0.11143295893697255,0.03134547833023402,0.12733618203531596,0.12472822329124005,0.031188169740385116,0.5636962865598162,0.10668021641219484,0.05329608480561317,0.0944814693615528,0.042641776006305775,0.056213141666077805,0.025164340679275025,0.0032982142901835775,0.053481911580103084,0.0010914429352251198,0.053481911580103084,0.07992991710068963,0.016013264257114197,0.0649220796252065,0.06347365706533507,0.06972404936451193,0.04706735892497079,0.014167487302209368
ppg_red_std,0.053292628106094087,0.0,0.8994450050190854,0.8849541581407727,0.9213286681016295,0.20910918087248986,0.543149258323961,0.5448647019394663,0.23072352436284044,0.5238850110293377,0.7085800404857011,0.9460171680265221,0.6789330384861635,0.9462952707980792,0.9999999986181617,0.8723865735265088,0.27110387683702375,0.9285528997673006,0.723391187205638,0.569238339518251,0.5763307915597338,0.6873409974891104,0.9914203787674569,0.5738288309892757,0.7073927774614039,0.9761654352312322,0.0592594616127242,0.8220516075672497,0.9999999986181617,0.49161835393873443,0.3415542240011164,0.5332032932405805,0.2871303864742955,0.2504271067171178,0.9421415245061527,0.8428712086311976,0.9421415245061527,0.6967378059364009,0.7085800404857011,0.9460171680265221,0.7002798246792092,0.6887568708562003,0.4744547459277251,0.4262332141605169
ppg_red_min,0.005508831099392979,0.8994450050190854,0.0,0.8553656996451618,0.939010346253929,0.11973574435628256,0.2633911228949898,0.2648593846895444,0.014338634638327402,0.7014360544726527,0.6368469178175271,0.8247241260339381,0.4320734429927913,0.8249938278177524,0.8994406209639866,0.8453978147238073,0.1210566607720667,0.7950429650523259,0.46227540526038563,0.293064292075029,0.3101897596567496,0.43101442931909634,0.9277789688362393,0.3021937542609224,0.44794979987015104,0.8711359174693759,0.10222609456395237,0.5831178404024212,0.8994406209639866,0.6016415882092512,0.4745993005465158,0.6569798811760974,0.33939749445200484,0.0980675101917103,0.9156638097609804,0.9379158246332707,0.9156638097609804,0.4383197398758894,0.6368469178175271,0.8247241260339381,0.6333467994249771,0.547931800858078,0.6361483277652857,0.5963036072950689
ppg_red_max,0.011552687711072374,0.8849541581407727,0.8553656996451618,0.0,0.9813401583836067,0.08377793737964956,0.1460826065286838,0.14773797283150344,0.37492990961687234,0.6837943107934605,0.929668609796294,0.7192827929190779,0.30869524408733273,0.7199528361270966,0.8849457105047509,0.9922294085172778,0.1453816676280857,0.9567688085682784,0.3501556144152705,0.1526910554591838,0.15656729314498907,0.29536803804938916,0.8927718406223756,0.1549135486769664,0.32378711145592654,0.9481768676448764,0.0030928112760308757,0.4882111931400015,0.8849457105047509,0.602717731001912,0.4820844418801136,0.7006098189259538,0.43820681828451197,0.12665839821496486,0.8879157271565477,0.9444131116695699,0.8879157271565477,0.33222145854597573,0.929668609796294,0.7192827929190779,0.9217298275748466,0.3132285989718715,0.5631232031789692,0.3931377313861649
ppg_red_range,0.0056244515128542494,0.9213286681016295,0.939010346253929,0.9813401583836067,0.0,0.10005906096906758,0.1947416253522123,0.19638552219964392,0.24357374977448948,0.7142926756184141,0.8535413792479636,0.7836134941788885,0.3653027620817693,0.784158407651613,0.9213214328991497,0.97248181073478,0.14144478397273905,0.9302507626390929,0.4040364141134422,0.21014267108481421,0.21907250767459688,0.3560624583008103,0.9370353748653489,0.21500672787007782,0.38121441298201403,0.9527911176169129,0.03589100012221748,0.5405382828725315,0.9213214328991497,0.6234286800610129,0.4961912856221877,0.7089544074043029,0.4168792391107032,0.1204823214064209,0.9293147710388129,0.9750798424125438,0.9293147710388129,0.3832390521493074,0.8535413792479636,0.7836134941788885,0.8469720761417202,0.4113163729220676,0.6099521552635447,0.48231836472685385
ppg_red_median,0.019975944704298542,0.20910918087248986,0.11973574435628256,0.08377793737964956,0.10005906096906758,0.0,0.37616826024227246,0.3704778419737996,0.14023244098922785,0.03594838409494176,0.004385026711695287,0.29328867509259576,0.35565570583313266,0.2931408227016535,0.2091044639330045,0.1134357171085634,0.17726108614098943,0.10695691578273289,0.2636129634655864,0.29923932039274775,0.35403609562178057,0.3282973043795569,0.20532166718090858,0.32729696620011917,0.2966014058018225,0.15323627731821884,0.3641646719013704,0.3296977831427162,0.2091044639330045,0.053920074476669654,0.04009824556349742,0.026550631431888648,0.007012076587363817,0.15156078045862914,0.2706389367274166,0.1025005702464767,0.2706389367274166,0.33474992990560704,0.004385026711695287,0.29328867509259576,0.01897246513726508,0.3978757358571845,0.0007917255696520078,0.03853594395712907
ppg_red_iqr,0.113494981895065,0.543149258323961,0.2633911228949898,0.1460826065286838,0.1947416253522123,0.37616826024227246,0.0,0.9997998088288825,0.06746971306338549,0.2009915653692221,0.016503402315526862,0.7214603331255515,0.9521474344515057,0.721001028989353,0.5431629710605407,0.1389574605393275,0.41050531393162343,0.3278893849747689,0.9139023481961935,0.9699631003566238,0.9682694882299158,0.9301565172208058,0.47636500572095125,0.9708659260286119,0.9245165839442141,0.40123482179504943,0.265840834835104,0.9161084372308582,0.5431629710605407,0.08405560929749813,0.22809773565047353,0.16657375490591594,0.14955018347691346,0.3935792356503515,0.4357363830881447,0.0686608348355704,0.4357363830881447,0.9286851128234601,0.016503402315526862,0.7214603331255515,0.036234541248743986,0.8740822749855968,0.1277207399162246,0.009092432616468764
ppg_red_mad,0.11174563242085434,0.5448647019394663,0.2648593846895444,0.14773797283150344,0.19638552219964392,0.3704778419737996,0.9997998088288825,0.0,0.06642297901364237,0.20056576330560597,0.015807704534567528,0.7221456569190202,0.9515852213823576,0.7216865069078463,0.5448783788094479,0.13984622652630688,0.4081580449708744,0.3293362697941639,0.9160123020379354,0.9709330679112919,0.9693215247478558,0.9314324591851362,0.4782671034018499,0.9718788586271754,0.9262163074477556,0.4029158354824715,0.2603866265187113,0.917212215460007,0.5448783788094479,0.08505054122937349,0.2272114871847802,0.1662150524726403,0.14893399397318288,0.3914523951556366,0.435485754278045,0.06972596448243655,0.435485754278045,0.9289711569690097,0.015807704534567528,0.7221456569190202,0.03535309597723389,0.8737853370743536,0.12715667825582322,0.01021353138404261
ppg_red_skew,0.005358652795528098,0.23072352436284044,0.014338634638327402,0.37492990961687234,0.24357374977448948,0.14023244098922785,0.06746971306338549,0.06642297901364237,0.0,0.0338583309963631,0.5083340813979282,0.14380146857598256,0.10066678498724205,0.1443012968210468,0.23072288012118622,0.35769205065425663,0.038519465470696096,0.41031787623397425,0.1254023078024759,0.06069996214839418,0.04253442851020108,0.08030834432223138,0.21735513360552386,0.05168767907810695,0.10325271927312421,0.3325326754409434,0.3699799641721628,0.14835311440131335,0.23072288012118622,0.12018964697181941,0.03917879404689794,0.14489822468863803,0.17279324835781912,0.04513296529430267,0.1846064237177973,0.15327284945782166,0.1846064237177973,0.14713000435477072,0.5083340813979282,0.14380146857598256,0.5023837826013915,0.0300950514832278,0.006708369705177788,0.13266528714233902
ppg_red_kurtosis,0.0626154971372454,0.5238850110293377,0.7014360544726527,0.6837943107934605,0.7142926756184141,0.03594838409494176,0.2009915653692221,0.20056576330560597,0.0338583309963631,0.0,0.5882081609168035,0.3782382549435347,0.04392447840587741,0.37871652521024013,0.5238737375302496,0.6701892725448314,0.12657931707151723,0.5586725473079334,0.023705274366174072,0.18814712684074658,0.17483365701216538,0.057078844097404276,0.5756494741683043,0.18180172732527047,0.04041749897452682,0.577985673341324,0.14088179374163673,0.09383805548273523,0.5238737375302496,0.8751392552877298,0.9161601928763399,0.9838896253500362,0.7942864925384243,0.27705186791455916,0.5855390458601701,0.7514672724319841,0.5855390458601701,0.03423659984472716,0.5882081609168035,0.3782382549435347,0.5852411105709963,0.06902083009470357,0.6953146435364089,0.5577137588308356
