,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ppg_red_mean,-0.06343601478026382,0.18258367540789955,0.2002061754325998,-0.45276983036784085,-0.05539012904845714,-0.4554849861535721,0.05234807820823279,0.02644006691868458,-0.4450062665746015,-0.18268099688675685,0.007629495465128735,0.14932353410084448,-0.08902861411878772,-0.12821884108333667,0.1006736716615569,0.4204228857756005,0.09747988517740762,-0.16587282440462042,0.03889459086622161,0.006138864860455349
ppg_red_min,-0.357660842107753,0.030481775416146814,-0.057722176145898495,0.06941726961567171,0.14764596809327205,-0.08987557892367051,0.16404545294512912,-0.2181370244591748,-0.21638800236800548,-0.11766880580650908,-0.056506673112228505,0.2066439943960251,-0.11686620201753972,0.08027085927984542,0.013164441527444852,-0.11553938691206211,-0.6272227697657674,0.32217137130399215,-0.23004606771973576,0.2613716352177002
ppg_red_median,-0.09795128158632392,0.1574388695523751,0.20710080994241756,-0.41091791291459695,-0.19362131078886038,0.05908410193085909,0.006146307196678625,-0.6931020152193351,0.42904841408961103,0.19034128609247336,-0.06574851701610979,0.02112575812012912,0.0016396804927933178,0.0047174573888163545,0.010489331066065677,-0.0351553198362157,-0.024061525213544963,-0.0694210372565399,0.005639393835555058,-0.024156382040433272
ppg_red_mad,0.2734897614194776,-0.2522830764373532,-0.1806068166209416,-0.019006272723016072,-0.22870277788223883,-0.1536429352527202,-0.09834152786555617,-0.230611705393541,-0.25464001639870226,-0.12771374005133662,0.05878576565166606,-0.386730706644828,0.13284500495349127,-0.012871071271701671,-0.07946276355262445,-0.19468970509295386,-0.3248611580420613,-0.48704229581966857,-0.22352120011658505,-0.03008821101904668
ppg_red_skew,0.061786212923145484,0.07619287843883801,-0.13669659536860726,0.11384178981184731,0.26865078018233574,-0.8100160720616498,0.09331926164523659,0.03231120317619046,0.40727239145842387,0.07091489845859769,-0.025564968138284308,-0.06532105720743403,0.1266300644017483,0.04756900386058753,-0.048622043902257946,-0.1469271996524496,0.03324523424998474,0.03440174818908906,-0.003442361536650377,-0.01757907107274929
ppg_red_kurtosis,0.1600073531866856,0.4174762674781499,-0.16741188431743334,0.01357663439726895,0.18444376128462703,0.0297766727965395,-0.23381649037771154,-0.06040473720266947,-0.054744258738893325,0.09772028371462976,-0.12491995219379494,-0.44517086164302083,-0.5964243229906495,0.2512421819414825,-0.017600579764464316,0.15985461200669226,-0.017392494444215294,0.06265040753151656,-0.05652752711110283,0.014697545165681065
ppg_red_diff_mean,-0.288365248918214,-0.0023189511336593857,-0.3055227611843335,-0.08274674341448608,-0.2339698190431756,0.014178791155595134,-0.16871125802260356,0.18125508831011927,0.19198773988303122,0.10112668237240219,-0.022559803499947437,-0.1398479339848361,0.3507306421496678,0.20414158254298964,-0.24107199827777046,0.5827508267997491,-0.25361822115953675,0.05996778624191302,0.00011040360700005737,-0.05402290078286113
ppg_red_diff_mean_abs,0.30816307081949473,-0.21661032409979084,-0.1875684129975045,-0.13916245538729913,-0.14341371424372648,-0.09179481313067764,-0.13493359992482817,-0.06960766030283265,-0.055645173164845844,-0.02310919310256445,-0.08905271148564183,0.16734789786052,-0.10787748282779518,0.1575043831480007,-0.031244040621018255,-0.06923049512731148,-0.19162152428590795,0.17755378953534773,0.7562910815596214,0.17181557566170289
ppg_red_signal_energy,0.31892779718787495,0.00520294137280547,0.3149687663691012,0.048464597621090906,0.14681202909538033,0.028400082231720865,0.08535097070458607,0.025336493281118085,0.05980347206977622,-0.0015306555931493388,0.03382515375024319,-0.04997196086519879,0.01399565126690252,-0.19232123853152555,0.06840326922833616,0.18151629468947272,-0.45764279689916665,0.20034289891165147,0.07416871365138586,-0.6552182350469461
ppg_red_zcr,0.028805131830564046,-0.15907065781935692,-0.24578084938283984,-0.4139273820047089,0.4226368270526202,0.15201748661734524,0.11571920043925951,0.020475230045884606,0.08752492843561079,-0.14528778481473262,0.09572835160994644,-0.001094817765853198,-0.13261914930615185,-0.34185368193746996,-0.5936602900865982,-0.015371680320321598,0.026385574248183313,0.0021239686747372357,-0.028334247228360847,0.004785239021552021
