,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
ppg_red_signal_energy,0.27034842412437776,-0.278448565791015,0.017970190006013048,-0.029787736526856463,0.04222152564430109,0.14740842653679975,-0.04255509743911653,0.1454229659122611,-0.11388555151966107,-0.157072352694463,0.09350669030400265,0.23393597982629613,0.2497859058601714,0.023049495289407532,-0.23573579347550194,0.5357124496548032,0.01245806299248613,-0.3830502688588436,0.0736159072976617,0.08240187827879766,-0.36823851083937437,-0.020269937196085785
ppg_red_max,0.31441756104440566,-0.18262378886501812,0.03132435554786568,-0.041060154095954864,-0.08221509855110619,0.03630258586766641,-0.14097405840285013,0.10810731471785971,-0.07317667662559389,-0.1965803609231185,-0.05477617767174153,-0.04444697367964675,0.2101410389038312,0.18090458737681003,-0.13422696531763664,-0.446915522177683,0.2182439907318395,-0.07471607954579298,0.12895707856096092,-0.6389133910379897,0.058672992644501945,0.019455171980639095
ppg_red_iqr,0.2721558728099778,-0.2686078753392322,0.05077791751422684,-0.03629513597457616,0.05008280773417368,0.0896891356747474,-0.07974278130116069,0.053783222034053633,-0.07650478097258295,-0.3449114364383101,-0.019007378369039853,0.11905224561969484,-0.08996859092939972,0.10231585090288965,0.3197170491606155,0.20051858701146708,-0.3758894489323644,0.5016350327872784,-0.33019707017904787,-0.10091541396294933,0.13202390544919412,-0.012852471018440037
ppg_red_impulse_factor,0.2587184519472322,0.33586443756086376,-0.005066032640633282,0.033551628037776234,-0.04031588784263822,0.05376406811021953,0.01730463567575469,0.15547519018483347,-0.01802639193970348,0.0011067203476583715,-0.18212277887378123,-0.12596475350990277,-0.032504677369474134,-0.031050153079226938,0.027417308502059312,0.09275440367865023,-0.06228570820884467,-0.02483360257969694,-0.0010293689762427697,-0.0009170713374605138,-0.04195480640730038,0.8503672474200057
ppg_red_tke_mean,0.277931863351601,-0.2731671175196215,-0.018641162177608882,0.047296418475494505,0.05151035526786302,0.010945845383263937,0.14094432942566038,0.04866834953119863,0.07691826484417494,0.3517941230916593,0.03190331016032068,-0.060925716921509124,0.03352473376783349,-0.11411518112059894,-0.0353448783633585,0.22599938244249418,-0.06550879398598733,-0.021766303460812403,0.3862813256422166,0.015700023582994133,0.6821153141405841,0.012626923574177877
ppg_red_ddx_std,0.3130052024764124,-0.22038243956718498,-0.0050612305747896455,0.03868169755599821,0.05174870857731031,-0.05087064475896328,0.04100054495940606,-0.037125399706973004,0.06564887891061731,0.13586152145620078,-0.017017625675074928,-0.10888114422034786,-0.13181432228558748,-0.020879457064394424,0.14123790206979478,-0.2530594852070187,-0.07768580943180946,0.31971550284388045,0.5218842653955224,0.2404468139078505,-0.5177380677840642,-0.020436347368513626
ppg_red_tke_std,0.26952876081560356,-0.21728797702667346,-0.01904797191224545,0.043761319639297844,0.06434668486174903,-0.09886193650995963,0.19335457324054053,-0.09748708707748692,0.1655191824643072,0.5641858273300147,0.00399386368347015,-0.15517357550151042,-0.009448104565397436,-0.06071073091644374,-0.01907828950096229,-0.008564501574300038,0.04225715123797692,-0.06444096499464423,-0.5900965745178524,-0.19265642496835786,-0.22746959002421033,-0.0061473118869151645
ppg_red_min,-0.31985130517647864,0.1610738595930765,-0.01184546415056629,0.028182832746934207,-0.13169154971590608,-0.08607380144881097,0.05336493079625272,-0.03563844000935721,0.04560093910997257,0.22605010829316385,0.011365520829246757,-0.12949134828183595,0.26743687034993147,0.15218815972491592,0.060151351728089865,0.3901334164648353,-0.28560498636048537,0.22740586412248945,0.2625015169812748,-0.5241024725478485,-0.2084170574228908,-0.03245722426940414
ppg_red_dx_kurtosis,0.25196864495583027,0.2109010027731147,-0.009357881891294481,-0.03439769210363541,-0.011729609126111299,-0.21670549621223995,-0.018961664996386317,-0.5037824645157583,0.049034661732677134,0.08212970798632488,-0.011744399530373829,0.36375086040585847,-0.19039190221454408,0.6224592142057113,-0.050046051179563095,0.0870807488932628,0.052786315528549885,-0.05374645558691938,0.06007482114570187,0.024333183201216836,0.06389273981709956,0.012395917377199424
ppg_red_shape_factor,0.23186760216874866,0.32883981368157944,-0.002893367479700657,0.0036599534774884703,-0.06750627350314271,0.05082017542398765,-0.012898877776117,0.26780420851572156,-0.04504080170582675,-0.007633633378928178,0.22271456333652054,-0.23668457824932865,-0.2682852385972203,0.060859254812977444,-0.6168861223062984,0.12307240093802209,0.047839557554607025,0.34697991552460566,-0.05790388915393117,0.014350538081899308,0.005223611091933532,-0.23173381055943926
ppg_red_ddx_kurtosis,0.24366742812283992,0.14834951180188327,0.001882489079349792,-0.08241614210543383,-0.007444831842485741,-0.21998744753892574,-0.15838403650206462,-0.5948327988748725,-0.026442541139382485,-0.25072088165107387,0.28005661553005234,-0.26844232797227197,0.2075246394276384,-0.4655195925705218,-0.023721699477226965,0.07410516968406916,-0.04792313388180747,-0.009695946004772341,0.006704855992974663,-0.042169872460428595,0.018825571887559126,-0.003234618340980684
ppg_red_crest_factor,0.2660156384627846,0.2742278677738025,-0.013583078334960707,0.060833549198066585,-0.019339401307301288,0.04854546152897727,0.013517815524605549,0.04997297208262726,-0.031506520116536325,-0.09806673163904475,-0.5570873782365985,-0.38496801776150746,-0.07624956314447624,0.056609745904319005,0.2645535168570501,0.12797788121579107,-0.08620903425634804,-0.3087299112238338,0.019825527913800156,0.010663390698642826,-0.00032767046605820853,-0.42064686249422173
ppg_red_clearance_factor,0.20622790693144857,0.331241427320184,0.015549886404880016,0.012273106770699567,-0.0042176907535665656,0.07867681606590894,0.03998512763158943,0.29257062388311483,0.04730508178911675,0.08603309126114417,0.6405744456078024,0.027213378041495127,0.12565424780203824,0.12393470191389572,0.5092361929373853,-0.06836030916323307,0.05433511955742134,-0.15020494721645014,0.0005177606113799401,0.014458925893189815,0.006331066793080221,-0.11104144160131249
