,ppg_red_n_peaks,ppg_red_hr_mean,ppg_red_hr_std,ppg_red_hr_min,ppg_red_hr_max,ppg_red_hr_range,ppg_red_hr_median,ppg_red_rmssd,ppg_red_sdnn,ppg_red_sdsd,ppg_red_pnn50,ppg_red_pnn20,ppg_red_mean_ibi,ppg_red_cv_ibi,ppg_red_peak_quality
ppg_red_n_peaks,0.0,0.6498533794195734,0.33728686726920115,0.6008251498163452,0.658052325907598,0.49476832352469446,0.6398337271888261,0.405851636929714,0.41817581694237765,0.343718617691158,0.24744579630128094,0.23437136550917587,0.5850400119753892,0.06534900220514164,0.13140612445926994
ppg_red_hr_mean,0.6498533794195734,0.0,0.592325288664174,0.9658700045819977,0.9735720568111618,0.6626059359996006,0.9917549739395787,0.5431178863452495,0.5473827062467301,0.5057018805267584,0.3407951289200997,0.23998644516464318,0.9559748554029203,0.024498681775454494,0.045633720649467434
ppg_red_hr_std,0.33728686726920115,0.592325288664174,0.0,0.43208054467514084,0.705658108483968,0.8653198345859596,0.5664151467749557,0.18130363257879376,0.2741615825685709,0.03749272950527773,0.18157895941667115,0.04755796604463486,0.58408120357026,0.7953542827494303,0.04221888228325642
ppg_red_hr_min,0.6008251498163452,0.9658700045819977,0.43208054467514084,0.0,0.9082839964673115,0.47749527511736983,0.9560254868918548,0.653402015227669,0.6734229542615683,0.5858633782998255,0.4087973985310072,0.2730537813018927,0.9358057242891193,0.1579890510661309,0.1296407393709044
ppg_red_hr_max,0.658052325907598,0.9735720568111618,0.705658108483968,0.9082839964673115,0.0,0.8001669522920811,0.9541495444305874,0.4342073718488723,0.4250255125134041,0.42228394738212477,0.268772724817075,0.21167054676220678,0.9306848892539554,0.16199089944579642,0.03690805978896332
ppg_red_hr_range,0.49476832352469446,0.6626059359996006,0.8653198345859596,0.47749527511736983,0.8001669522920811,0.0,0.6362215706530442,0.022268336579764878,0.07084558062744827,0.049862834694515,0.0211625481621874,0.046689708426474213,0.6181041668961457,0.5676505448168326,0.23763614408537823
ppg_red_hr_median,0.6398337271888261,0.9917549739395787,0.5664151467749557,0.9560254868918548,0.9541495444305874,0.6362215706530442,0.0,0.5490761773977991,0.5533229056620997,0.5104239122642086,0.3494756093625043,0.23929443259712788,0.9486476560257613,0.012464916694780285,0.0609641703027225
ppg_red_rmssd,0.405851636929714,0.5431178863452495,0.18130363257879376,0.653402015227669,0.4342073718488723,0.022268336579764878,0.5490761773977991,0.0,0.9000315352576403,0.8892335013429824,0.6639006980287947,0.41339845909746764,0.577073515012772,0.661477036984953,0.07791316120747784
ppg_red_sdnn,0.41817581694237765,0.5473827062467301,0.2741615825685709,0.6734229542615683,0.4250255125134041,0.07084558062744827,0.5533229056620997,0.9000315352576403,0.0,0.7047056118457335,0.5649723379355528,0.3298028756616058,0.571384570469395,0.7862009670874882,0.027850297590298494
ppg_red_sdsd,0.343718617691158,0.5057018805267584,0.03749272950527773,0.5858633782998255,0.42228394738212477,0.049862834694515,0.5104239122642086,0.8892335013429824,0.7047056118457335,0.0,0.5610910068573719,0.37680329152646763,0.5472047051507682,0.4451529780238998,0.05548890371802764
ppg_red_pnn50,0.24744579630128094,0.3407951289200997,0.18157895941667115,0.4087973985310072,0.268772724817075,0.0211625481621874,0.3494756093625043,0.6639006980287947,0.5649723379355528,0.5610910068573719,0.0,0.5860771577852493,0.32633222833939857,0.47042876244018733,0.07501978015230465
ppg_red_pnn20,0.23437136550917587,0.23998644516464318,0.04755796604463486,0.2730537813018927,0.21167054676220678,0.046689708426474213,0.23929443259712788,0.41339845909746764,0.3298028756616058,0.37680329152646763,0.5860771577852493,0.0,0.22311270177027528,0.2469623670351007,0.12465446042237435
ppg_red_mean_ibi,0.5850400119753892,0.9559748554029203,0.58408120357026,0.9358057242891193,0.9306848892539554,0.6181041668961457,0.9486476560257613,0.577073515012772,0.571384570469395,0.5472047051507682,0.32633222833939857,0.22311270177027528,0.0,0.03380106406780503,0.11538143034894882
ppg_red_cv_ibi,0.06534900220514164,0.024498681775454494,0.7953542827494303,0.1579890510661309,0.16199089944579642,0.5676505448168326,0.012464916694780285,0.661477036984953,0.7862009670874882,0.4451529780238998,0.47042876244018733,0.2469623670351007,0.03380106406780503,0.0,0.039854255189857135
ppg_red_peak_quality,0.13140612445926994,0.045633720649467434,0.04221888228325642,0.1296407393709044,0.03690805978896332,0.23763614408537823,0.0609641703027225,0.07791316120747784,0.027850297590298494,0.05548890371802764,0.07501978015230465,0.12465446042237435,0.11538143034894882,0.039854255189857135,0.0
