PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.40454397386275387,0.40454397386275387
PC2,0.3009340504960441,0.7054780243587979
PC3,0.10089918165120898,0.806377206010007
PC4,0.07411149944867969,0.8804887054586866
PC5,0.04437440838413387,0.9248631138428205
PC6,0.030029040472900025,0.9548921543157205
PC7,0.02780632891795823,0.9826984832336787
PC8,0.008934607482241856,0.9916330907159205
PC9,0.003738232356251845,0.9953713230721724
PC10,0.002469796100156358,0.9978411191723288
PC11,0.0020391629686881997,0.999880282141017
PC12,0.00011971785898302149,1.0
