,ppg_red_n_peaks,ppg_red_peak_quality,ppg_red_hr_mean,ppg_red_hr_std,ppg_red_hr_min,ppg_red_hr_max,ppg_red_hr_range,ppg_red_hr_median,ppg_red_sdnn,ppg_red_mean_ibi,ppg_red_cv_ibi,ppg_red_rmssd,ppg_red_pnn50,ppg_red_pnn20
ppg_red_n_peaks,0.0,0.034798272794401064,0.6136363231671254,0.400117459320659,0.5547803944198119,0.646387914371472,0.5953731172591515,0.593771953064565,0.31956960216478963,0.5502823758454317,0.03588678482679132,0.3248896372953618,0.3082373864208537,0.30191070224010147
ppg_red_peak_quality,0.034798272794401064,0.0,0.1951165414969454,0.17643583532654306,0.2402424185924216,0.16423745003409515,0.003342696922633433,0.1844155583668493,0.12016209777006917,0.3216616201841237,0.09008172882494181,0.20262622348489603,0.10458794566453047,0.009207989170178925
ppg_red_hr_mean,0.6136363231671254,0.1951165414969454,0.0,0.6570788118107387,0.9708083783696507,0.9794404132220037,0.706064664213726,0.9918649795604582,0.5062599465156205,0.9395777082164164,0.10193203816690509,0.5089720238109484,0.36626533281631185,0.23406426951234066
ppg_red_hr_std,0.400117459320659,0.17643583532654306,0.6570788118107387,0.0,0.5093607122222038,0.7439931141122814,0.8893077217677611,0.6439620471496106,0.21165661877698755,0.6220192020117329,0.7843523982090319,0.1439358188404761,0.11176690587867959,0.029155009031338445
ppg_red_hr_min,0.5547803944198119,0.2402424185924216,0.9708083783696507,0.5093607122222038,0.0,0.9283318795799377,0.5458318158727812,0.9563228616057013,0.6242305202740132,0.9294079086795798,0.07217775290912398,0.6131035422958155,0.4359161390734725,0.26139646470019984
ppg_red_hr_max,0.646387914371472,0.16423745003409515,0.9794404132220037,0.7439931141122814,0.9283318795799377,0.0,0.8181741986201297,0.9608801602635453,0.411331963778429,0.9274790522285894,0.21221198481913173,0.42811475256361914,0.3071674905128446,0.19706331596611348
ppg_red_hr_range,0.5953731172591515,0.003342696922633433,0.706064664213726,0.8893077217677611,0.5458318158727812,0.8181741986201297,0.0,0.6866602017858671,0.03806003515537392,0.6536826619617632,0.5901666516607978,0.017147015439401128,0.01800158782924734,0.03843571364082589
ppg_red_hr_median,0.593771953064565,0.1844155583668493,0.9918649795604582,0.6439620471496106,0.9563228616057013,0.9608801602635453,0.6866602017858671,0.0,0.5027788299741763,0.9244355118097244,0.10136953535934978,0.5014733181959736,0.36062905095689735,0.23164487070438178
ppg_red_sdnn,0.31956960216478963,0.12016209777006917,0.5062599465156205,0.21165661877698755,0.6242305202740132,0.411331963778429,0.03806003515537392,0.5027788299741763,0.0,0.5321899115133413,0.7543668207505592,0.929503580896905,0.5446185870254386,0.3212773096280825
ppg_red_mean_ibi,0.5502823758454317,0.3216616201841237,0.9395777082164164,0.6220192020117329,0.9294079086795798,0.9274790522285894,0.6536826619617632,0.9244355118097244,0.5321899115133413,0.0,0.09992187934417637,0.5447140920742289,0.3554868970510911,0.21298201614050125
ppg_red_cv_ibi,0.03588678482679132,0.09008172882494181,0.10193203816690509,0.7843523982090319,0.07217775290912398,0.21221198481913173,0.5901666516607978,0.10136953535934978,0.7543668207505592,0.09992187934417637,0.0,0.6635202080854665,0.4206035619142123,0.2263030886737239
ppg_red_rmssd,0.3248896372953618,0.20262622348489603,0.5089720238109484,0.1439358188404761,0.6131035422958155,0.42811475256361914,0.017147015439401128,0.5014733181959736,0.929503580896905,0.5447140920742289,0.6635202080854665,0.0,0.6200607453074749,0.3634474712786606
ppg_red_pnn50,0.3082373864208537,0.10458794566453047,0.36626533281631185,0.11176690587867959,0.4359161390734725,0.3071674905128446,0.01800158782924734,0.36062905095689735,0.5446185870254386,0.3554868970510911,0.4206035619142123,0.6200607453074749,0.0,0.5647647258947959
ppg_red_pnn20,0.30191070224010147,0.009207989170178925,0.23406426951234066,0.029155009031338445,0.26139646470019984,0.19706331596611348,0.03843571364082589,0.23164487070438178,0.3212773096280825,0.21298201614050125,0.2263030886737239,0.3634474712786606,0.5647647258947959,0.0
