,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
ppg_red_mean_ibi,0.3109869395751573,0.27244838612261557,0.16077242568183678,0.0696955088677486,-0.061629735879568076,-0.3060312680854165,-0.16808160404705272,0.033090524107484406,0.3494897369687813,0.6987949255852041,-0.06957457787678921,0.23715795641184764,0.0034714917969301323
ppg_red_cv_ibi,0.26018889092253566,-0.38323667299428216,-0.04382924417224668,0.22444123022559234,-0.010743207390180401,-0.15854157086134354,0.2648701076298568,-0.0031694441204102564,-0.28373931482067866,-0.10364931787360758,-0.14179604343386507,0.7254923279680918,0.004800396875228568
ppg_red_hr_max,-0.29453231699680843,-0.3344038558026898,-0.024066555252756017,-0.05510302160131239,0.14388562843812058,0.26184605237153674,-0.0013593883466794948,0.05085039527886759,0.31905796229352335,0.17860856193934269,-0.1309099007296779,0.12450086237964045,0.7345871799888077
ppg_red_sdnn,0.34813173196750674,-0.15694527201379496,0.09219594023938699,0.24104673741893626,-0.08099815529088236,-0.061720937648977,0.38588566469059815,0.05192574908578713,0.3186970050738842,-0.14912420578868005,-0.5570213755924033,-0.43761491611064784,-0.0030356830716754823
ppg_red_rmssd,0.3498976489520713,-0.13358676401702663,0.11589241098157335,0.11199463366824927,-0.19008407400257127,0.3168512378580702,0.25170254236689454,0.05591584099758702,0.3555945086105973,-0.0750367751655233,0.7059484272585067,0.017411981060287723,-0.000786383606684823
ppg_red_hr_min,-0.3486319183272684,-0.149230927740393,-0.03945440734864765,-0.028444924443265903,0.11504302461464061,0.445002724983785,0.26890379820366006,0.03658823937174052,0.17812579296092734,0.3417748436988661,-0.16958156060060095,0.14293431689669162,-0.6092478235442573
ppg_red_n_peaks,-0.263591558666915,-0.19994663213897737,0.18126512449635476,-0.37865076642384016,-0.7882565500248316,-0.22064766052025703,0.15826217702144624,-0.11721771246221174,-0.00582145951704293,0.06864053939661699,-0.02702593727382625,0.0010492013211067682,0.003127864243260256
ppg_red_pnn50,0.33388156446964523,-0.05229645293094492,-0.0889316797893789,-0.38363154746356787,0.13370542543806077,0.18866404423879382,-0.026602389836949663,-0.8162205149697449,0.03599122209324918,0.025006846267927433,-0.09030997907875918,0.015287819886323781,0.0009875575691464052
ppg_red_sdsd,0.326037831491133,-0.09494185025108999,0.14786526358458885,0.0045982311019836,-0.3281081406371198,0.5675626374442387,-0.4877063381780859,0.23120933053932083,-0.27807484007835415,0.06637597522177655,-0.2447445178470341,-0.008441928877992154,0.00019862054945727806
ppg_red_pnn20,0.29602474359803277,-0.013520330510989243,-0.17441615233038615,-0.7374906117809005,0.2020803099149687,-0.058663096020337466,0.19966302463384575,0.5025085739344467,-0.022923222341256294,0.008858896702957754,-0.02170115835104753,0.01183818003303142,0.0003427166893898001
ppg_red_hr_std,0.08236358060891108,-0.5230517349894555,-0.13746653740679476,0.1136399195615746,0.11251306217710479,-0.16248935014913746,0.028777793415485954,-0.026252005453021383,-0.3965361648832226,0.502165415347206,0.22358926856393088,-0.433404574367364,0.0001228904461951376
ppg_red_hr_range,-0.011195431018675562,-0.5221765923175004,0.027216075784455507,-0.08252179410919752,0.11356154453183691,-0.2716755992302409,-0.5524307435307118,0.04680949874776955,0.4157244057251656,-0.2488446507217957,0.02412486033623955,0.03328438565588894,-0.2985643906568164
ppg_red_peak_quality,-0.043283649475870246,-0.06454950715974635,0.914043461630638,-0.12684594898404028,0.3258579208853179,-0.018863555679816214,0.08679917323940926,-0.018406673887113537,-0.16296885628559163,-0.021165576011272703,0.026280691761848322,-0.016813918698896833,0.001486434144628105
