PC,feature,abs_loading
PC1,ppg_red_mean_ibi,0.43742487693654264
PC1,ppg_red_hr_median,0.43603968479663263
PC1,ppg_red_rmssd,0.34641298393852726
PC1,ppg_red_n_peaks,0.3371524689027418
PC1,ppg_red_sdnn,0.32935641439782104
PC1,ppg_red_hr_range,0.28869358600201106
PC1,ppg_red_pnn50,0.28295015486559033
PC1,ppg_red_hr_std,0.22882877537121857
PC2,ppg_red_cv_ibi,0.5189108573327285
PC2,ppg_red_hr_std,0.46208925157678593
PC2,ppg_red_hr_range,0.3910736197602318
PC2,ppg_red_sdnn,0.34754657527337685
PC2,ppg_red_rmssd,0.3244513284897026
PC2,ppg_red_pnn50,0.25984964799623556
PC2,ppg_red_pnn20,0.1689200165069548
PC2,ppg_red_hr_median,0.133433799417465
PC3,ppg_red_peak_quality,0.7614652057966481
PC3,ppg_red_pnn20,0.41972496091617245
PC3,ppg_red_n_peaks,0.342341071683325
PC3,ppg_red_mean_ibi,0.1902787892448615
PC3,ppg_red_pnn50,0.16670042038977864
PC3,ppg_red_hr_range,0.1503489735288342
PC3,ppg_red_rmssd,0.1449034570222597
PC3,ppg_red_sdnn,0.11976588840356656
PC4,ppg_red_pnn20,0.6502538095237862
PC4,ppg_red_peak_quality,0.4689775788490951
PC4,ppg_red_pnn50,0.3975842836579023
PC4,ppg_red_sdnn,0.2734465080187829
PC4,ppg_red_cv_ibi,0.22789759443538243
PC4,ppg_red_rmssd,0.1386123883893355
PC4,ppg_red_hr_median,0.13432770185919696
PC4,ppg_red_n_peaks,0.1164101106370571
PC5,ppg_red_n_peaks,0.832044030677979
PC5,ppg_red_peak_quality,0.3780889030458737
PC5,ppg_red_hr_median,0.225378741223522
PC5,ppg_red_mean_ibi,0.17774157137461982
PC5,ppg_red_pnn50,0.17293384049109936
PC5,ppg_red_hr_std,0.17189177027609034
PC5,ppg_red_cv_ibi,0.09216751423748981
PC5,ppg_red_pnn20,0.08114167525364233
PC6,ppg_red_pnn50,0.7886429983859553
PC6,ppg_red_pnn20,0.5635107268036929
PC6,ppg_red_sdnn,0.17857571472231876
PC6,ppg_red_mean_ibi,0.08456815912291021
PC6,ppg_red_n_peaks,0.07482719039110602
PC6,ppg_red_hr_range,0.06998085198665192
PC6,ppg_red_cv_ibi,0.06297979310413745
PC6,ppg_red_hr_median,0.05327258817207591
PC7,ppg_red_hr_range,0.542770803762073
PC7,ppg_red_rmssd,0.5386433551812094
PC7,ppg_red_hr_median,0.5033322844986231
PC7,ppg_red_mean_ibi,0.3239168428264828
PC7,ppg_red_hr_std,0.16254619529618924
PC7,ppg_red_n_peaks,0.13025771617722615
PC7,ppg_red_sdnn,0.08067417895484859
PC7,ppg_red_cv_ibi,0.05390327089663289
PC8,ppg_red_hr_range,0.5804553435296882
PC8,ppg_red_rmssd,0.5268860937097417
PC8,ppg_red_cv_ibi,0.41163588649091737
PC8,ppg_red_mean_ibi,0.2048356661925959
PC8,ppg_red_hr_std,0.1934812427309987
PC8,ppg_red_peak_quality,0.19107044141910903
PC8,ppg_red_sdnn,0.1899008800857904
PC8,ppg_red_hr_median,0.18035435215869774
