,ppg_red_n_peaks,ppg_red_hr_mean,ppg_red_hr_std,ppg_red_hr_min,ppg_red_hr_max,ppg_red_hr_range,ppg_red_hr_median,ppg_red_rmssd,ppg_red_sdnn,ppg_red_sdsd,ppg_red_pnn50,ppg_red_pnn20,ppg_red_mean_ibi,ppg_red_cv_ibi,ppg_red_lf_power,ppg_red_hf_power,ppg_red_lf_hf_ratio,ppg_red_total_power,ppg_red_lf_norm,ppg_red_hf_norm,ppg_red_peak_quality
ppg_red_n_peaks,0.0,0.5781943713522824,0.4613274695417673,0.5725008127433632,0.604560610357604,0.5528733555947706,0.5747416778019471,0.3545148864256222,0.40119754691646936,0.39509533957269616,0.112838004878689,0.21376606280152147,0.520973414198278,0.07108521340918916,0.05341458012460122,0.019412461428587477,0.07351501691108837,0.0487311192010092,0.042498793496600455,0.0424987934966005,0.319890281345936
ppg_red_hr_mean,0.5781943713522824,0.0,0.8354858141430174,0.9784539239742038,0.9744149725605923,0.7910996773971525,0.989639291607178,0.5189710199736857,0.5918058414817885,0.517010359574835,0.25317771795393906,0.22270138156343808,0.9636721759410878,0.3021413277854197,0.10657473926987908,0.2726231156384695,0.12039925593299433,0.08669305962330932,0.10208867891484956,0.10208867891484963,0.03329905645004629
ppg_red_hr_std,0.4613274695417673,0.8354858141430174,0.0,0.7633386349330579,0.8729182293287305,0.8627788619942826,0.808803393949846,0.10589258970045297,0.0970260457264905,0.11273264335618942,0.007930892725949424,0.13094776031402894,0.8104358062353421,0.7519524257242749,0.046837968076066085,0.12613657061960618,0.004571110121161131,0.026619812108711196,0.04327280718402182,0.04327280718402178,0.06549075122425958
ppg_red_hr_min,0.5725008127433632,0.9784539239742038,0.7633386349330579,0.0,0.9439175591285432,0.6957433021889532,0.9737360869573177,0.5869476755136877,0.6707206654830593,0.5768124921318459,0.2723316966753779,0.24283461975663628,0.9550742090426187,0.18960729398597997,0.14670883045881797,0.3068755345030223,0.16680192653933337,0.11783966831997264,0.11934284020195823,0.11934284020195822,0.0769735011503681
ppg_red_hr_max,0.604560610357604,0.9744149725605923,0.8729182293287305,0.9439175591285432,0.0,0.8937444118983463,0.9629203785057797,0.4631142804330419,0.5198776465539378,0.4735287213048994,0.21372268383040616,0.23706201641370284,0.9332328585333051,0.35984867863694875,0.08589942325621236,0.22019750620180462,0.04969363809736083,0.051023960756040446,0.09392762150442023,0.09392762150442027,0.004348635726936893
ppg_red_hr_range,0.5528733555947706,0.7910996773971525,0.8627788619942826,0.6957433021889532,0.8937444118983463,0.0,0.7728112313767596,0.20889772384825112,0.21852569629036322,0.24536377929554481,0.09484391304003541,0.1859604381700787,0.7327129967823041,0.5258527111932562,0.014554365578499746,0.06040124954414214,0.11766578184561648,0.05078134673101323,0.04183371686007738,0.04183371686007745,0.12543116938419413
ppg_red_hr_median,0.5747416778019471,0.989639291607178,0.808803393949846,0.9737360869573177,0.9629203785057797,0.7728112313767596,0.0,0.5186896552417664,0.5992449727538427,0.513251801079028,0.2575331436967628,0.2194522439247956,0.9516184868190926,0.27807367107456543,0.1061036260413353,0.2756586692570556,0.12122585614546975,0.07749334424232829,0.09143215968465657,0.09143215968465668,0.04424921230522592
ppg_red_rmssd,0.3545148864256222,0.5189710199736857,0.10589258970045297,0.5869476755136877,0.4631142804330419,0.20889772384825112,0.5186896552417664,0.0,0.8589977148757425,0.9931156499997782,0.524989858628078,0.3338545398075945,0.5330783873879295,0.46525372866551395,0.1477970845682433,0.41803895931132873,0.1258418005051076,0.18789085771075273,0.17969292492444894,0.17969292492444894,0.03851106186883805
ppg_red_sdnn,0.40119754691646936,0.5918058414817885,0.0970260457264905,0.6707206654830593,0.5198776465539378,0.21852569629036322,0.5992449727538427,0.8589977148757425,0.0,0.8543009759017541,0.39541473978311,0.24030547252162915,0.6078576994747312,0.5548654246262005,0.1588901851601374,0.355478608995295,0.1652913918876675,0.15334214447852695,0.11172336787600268,0.11172336787600269,0.018582596478825344
ppg_red_sdsd,0.39509533957269616,0.517010359574835,0.11273264335618942,0.5768124921318459,0.4735287213048994,0.24536377929554481,0.513251801079028,0.9931156499997782,0.8543009759017541,0.0,0.5204264565801802,0.3523646061483018,0.5264678201202813,0.4620645038058329,0.13523424118845742,0.3830929659359565,0.10942389151776559,0.17608479074430494,0.18810775909508765,0.18810775909508765,0.008237923725686188
ppg_red_pnn50,0.112838004878689,0.25317771795393906,0.007930892725949424,0.2723316966753779,0.21372268383040616,0.09484391304003541,0.2575331436967628,0.524989858628078,0.39541473978311,0.5204264565801802,0.0,0.5304114668589222,0.2053923510934159,0.26246310551475677,0.1459552686403703,0.18826931423856333,0.05385929435066362,0.021975634463238934,0.01071166872917326,0.010711668729173299,0.19104098568938058
ppg_red_pnn20,0.21376606280152147,0.22270138156343808,0.13094776031402894,0.24283461975663628,0.23706201641370284,0.1859604381700787,0.2194522439247956,0.3338545398075945,0.24030547252162915,0.3523646061483018,0.5304114668589222,0.0,0.213432939223737,0.061937160762320594,0.03845685672087558,0.14903025093272093,0.06529198073463457,0.061079280560699896,0.06045500188992334,0.06045500188992335,0.13990703522804768
ppg_red_mean_ibi,0.520973414198278,0.9636721759410878,0.8104358062353421,0.9550742090426187,0.9332328585333051,0.7327129967823041,0.9516184868190926,0.5330783873879295,0.6078576994747312,0.5264678201202813,0.2053923510934159,0.213432939223737,0.0,0.3110339954255049,0.08409940889544326,0.32152911334454864,0.1559184391889945,0.07794264270674885,0.15522226597660563,0.15522226597660568,0.14697146674886538
ppg_red_cv_ibi,0.07108521340918916,0.3021413277854197,0.7519524257242749,0.18960729398597997,0.35984867863694875,0.5258527111932562,0.27807367107456543,0.46525372866551395,0.5548654246262005,0.4620645038058329,0.26246310551475677,0.061937160762320594,0.3110339954255049,0.0,0.08196696078936697,0.07644754672117927,0.051359555082457306,0.0857826433108116,0.0019822281089530345,0.001982228108953006,0.14389032734487336
ppg_red_lf_power,0.05341458012460122,0.10657473926987908,0.046837968076066085,0.14670883045881797,0.08589942325621236,0.014554365578499746,0.1061036260413353,0.1477970845682433,0.1588901851601374,0.13523424118845742,0.1459552686403703,0.03845685672087558,0.08409940889544326,0.08196696078936697,0.0,0.2220437817471002,0.1196632739192617,0.7404510358463419,0.5505745098781591,0.5505745098781593,0.021413671651993173
ppg_red_hf_power,0.019412461428587477,0.2726231156384695,0.12613657061960618,0.3068755345030223,0.22019750620180462,0.06040124954414214,0.2756586692570556,0.41803895931132873,0.355478608995295,0.3830929659359565,0.18826931423856333,0.14903025093272093,0.32152911334454864,0.07644754672117927,0.2220437817471002,0.0,0.331883192546303,0.42788406968655446,0.3270360511636198,0.3270360511636199,0.1597665111745913
ppg_red_lf_hf_ratio,0.07351501691108837,0.12039925593299433,0.004571110121161131,0.16680192653933337,0.04969363809736083,0.11766578184561648,0.12122585614546975,0.1258418005051076,0.1652913918876675,0.10942389151776559,0.05385929435066362,0.06529198073463457,0.1559184391889945,0.051359555082457306,0.1196632739192617,0.331883192546303,0.0,0.018281281914971362,0.5312571251415915,0.5312571251415916,0.27700035525007627
ppg_red_total_power,0.0487311192010092,0.08669305962330932,0.026619812108711196,0.11783966831997264,0.051023960756040446,0.05078134673101323,0.07749334424232829,0.18789085771075273,0.15334214447852695,0.17608479074430494,0.021975634463238934,0.061079280560699896,0.07794264270674885,0.0857826433108116,0.7404510358463419,0.42788406968655446,0.018281281914971362,0.0,0.3192251904373541,0.31922519043735414,0.017427925242602324
ppg_red_lf_norm,0.042498793496600455,0.10208867891484956,0.04327280718402182,0.11934284020195823,0.09392762150442023,0.04183371686007738,0.09143215968465657,0.17969292492444894,0.11172336787600268,0.18810775909508765,0.01071166872917326,0.06045500188992334,0.15522226597660563,0.0019822281089530345,0.5505745098781591,0.3270360511636198,0.5312571251415915,0.3192251904373541,0.0,1.0000000000000002,0.34451667556753135
ppg_red_hf_norm,0.0424987934966005,0.10208867891484963,0.04327280718402178,0.11934284020195822,0.09392762150442027,0.04183371686007745,0.09143215968465668,0.17969292492444894,0.11172336787600269,0.18810775909508765,0.010711668729173299,0.06045500188992335,0.15522226597660568,0.001982228108953006,0.5505745098781593,0.3270360511636199,0.5312571251415916,0.31922519043735414,1.0000000000000002,0.0,0.3445166755675313
ppg_red_peak_quality,0.319890281345936,0.03329905645004629,0.06549075122425958,0.0769735011503681,0.004348635726936893,0.12543116938419413,0.04424921230522592,0.03851106186883805,0.018582596478825344,0.008237923725686188,0.19104098568938058,0.13990703522804768,0.14697146674886538,0.14389032734487336,0.021413671651993173,0.1597665111745913,0.27700035525007627,0.017427925242602324,0.34451667556753135,0.3445166755675313,0.0
