,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ppg_red_hf_power,-0.16921159972037905,0.2296740474202578,0.11163016131415958,0.41329568768370734,0.18509657842517455,-0.19796200213354245,0.601133914620222,0.09387388829497273,0.1720572382671328,-0.46768486641878027,0.011786276475480799,0.18323716838207155,-0.08951609422827016,-0.032530640830267105,-0.0210041553118824,0.01259000710234197
ppg_red_sdnn,-0.2897580211976249,0.3680586198713665,0.047649952790936756,-0.06164654858784039,-0.3234525465011261,0.1646259667699893,-0.039254855828187066,-0.01860481155198932,0.292756493268366,-0.011463869809811865,0.021633506746231476,-0.2467477000466589,-0.1240644730365586,0.017460725921341746,0.5761056653561228,-0.38223965808774263
ppg_red_sdsd,-0.2928199481194869,0.37079886150604396,0.058925483859527415,-0.08634326762744471,-0.14231207653848324,0.17451489989951385,0.07634220995562152,0.06937689323080828,-0.2015487641353967,0.20795534171240612,-0.20729095787962334,0.4801072053092204,0.5832689763659352,0.0029337325891469652,-0.08253387744791245,-0.011175922395497124
ppg_red_hr_std,0.3544351140579276,0.33977426357500823,0.0508739205939594,-0.09429742339274523,-0.08380556930984334,-0.03160259764648735,-0.0042991346116393716,0.0715139886863058,-0.0405584265475442,-0.025450663356584764,0.11817401331596945,0.08286178210007072,-0.17259200788575682,0.588091389487618,-0.3819074353239453,-0.43551985236217755
ppg_red_hr_range,0.3656089567619825,0.26877090259673614,0.07193635530405294,0.09580839962296782,0.016108610248105684,-0.006681735335207902,-0.14035464160061825,0.021553924877599506,0.05502981361712123,-0.2636443264749371,-0.4526619048820572,-0.4427537184301416,0.32975743369732613,-0.34940737360467555,-0.19351491373931234,-0.13238696219982343
ppg_red_n_peaks,0.3018490722095601,0.024062320466094883,0.07447520991821005,0.20412237654384793,0.2609296450517773,0.4695344584564887,0.27798142603745035,-0.2769574442946839,0.4314210212693366,0.4394797183647332,0.14382779618345887,-0.01616293731417423,0.13341652005166157,-0.016734556530867462,-0.015843648804545675,0.00494206108370614
ppg_red_lf_hf_ratio,0.0645187526940974,-0.1144154089658731,-0.39751703982918424,-0.2707599989888199,-0.09093730165877992,0.45236413346282045,0.5194808734409087,0.32940977254315496,-0.2890593460365401,-0.1088567280888149,-0.018635766244172097,-0.25234381762559693,-0.01990928243193937,-0.009720589755884386,-0.0013075048079186017,-0.014806306796545569
ppg_red_lf_power,-0.0632727554162245,0.1791324184045354,-0.4834259069898135,0.3360645071505801,0.10080443108187995,0.026670175168491465,-0.26865897019317375,-0.012139747498075332,-0.09826328069265167,-0.1743272886784066,0.5868472302595266,-0.13961816217241413,0.3581380934462706,0.043061181614461444,0.0030163423714450756,0.003935840020796752
ppg_red_pnn50,-0.16371755800146467,0.29757594013272454,-0.02149180052917136,-0.24091206018424213,0.4890122592346504,0.14274728904337047,-0.0057197511494486665,-0.5896524386106992,-0.3777739805371267,-0.13745894319739665,-0.08999968417122207,-0.07223484685600642,-0.20567210835240404,0.006220217960833151,0.03991425134929578,0.00730056756541481
ppg_red_total_power,-0.06188621082487671,0.19817371381539053,-0.37332904566059677,0.46205490037811364,0.015422492916116875,-0.21666809383559124,0.05099142613015288,0.08503815547464967,-0.21914089437344625,0.5341322947793662,-0.34217852326425147,-0.12308898279016615,-0.284283361992358,0.01883396152337,0.011546121570998161,-0.012300359722371547
ppg_red_mean_ibi,-0.42373130202708253,-0.06858150535815725,0.04457499987488134,0.08980570105180241,-0.09561809928137988,0.16287200971289922,-0.04890457051764839,-0.0821189449339262,0.22795947452437382,-0.0786563400500185,-0.22432209667376782,-0.3830237852999888,0.08847724259433129,0.5254404716474745,-0.2969896831445804,0.36550284136191963
ppg_red_cv_ibi,0.10118581879455754,0.5138114174835898,0.03297179370471535,-0.16630135226267592,-0.2885499543866239,0.04164778325333955,-0.024371576555287773,0.06181932804682309,0.0828379209241089,0.06103550151383527,0.24761338934817437,-0.008839273888202739,-0.30517281998457163,-0.27259189184850946,-0.2036352734633695,0.5715965974449683
ppg_red_hr_max,0.43357782457461486,0.12870555095309066,0.0254637708635562,0.007763379583559334,0.07703366786476218,-0.08128460476142313,0.0032745785877586367,0.07969088770959075,-0.0992824965352592,-0.09189660776960187,-0.1503033369140248,0.04855147628900848,0.16187356469914627,0.42030665264217204,0.5867497948855921,0.4306359826116938
ppg_red_pnn20,-0.17108202828495236,0.15953288675208938,0.024485175789440792,-0.25671272396245104,0.6395584416896994,-0.010885005736414814,-0.1873127153805882,0.5985435077277318,0.2364990117187921,0.126936830961578,0.00036674816897038724,-0.056631647636021167,-0.03188446446134918,0.0032642767998908653,0.0008697679101981918,-0.002309286065297538
ppg_red_peak_quality,0.010298089273562142,-0.04470799546532725,0.2962590950955948,0.4394077561850732,0.008525902275008424,0.5898248243294189,-0.3304572001690634,0.23194957020956888,-0.2649998840427404,-0.17209627774084515,-0.055580728368830074,0.16558743486928426,-0.2721787999003574,-0.029571939470619108,0.027323858921344174,0.005006287485330342
ppg_red_hf_norm,-0.07284298012630439,0.017427382179610817,0.5872291695108144,0.07515494188226053,0.01581441445031707,-0.16186607745117493,0.20572342945338604,0.10580062767550458,-0.4177109119309525,0.25313285915221245,0.3311086141511155,-0.4342467827058014,0.1613297285369931,0.011497939601906716,0.029441099623328634,-0.012210796470966009
