,ppg_red_n_peaks,ppg_red_hr_mean,ppg_red_hr_std,ppg_red_hr_min,ppg_red_hr_max,ppg_red_hr_range,ppg_red_hr_median,ppg_red_rmssd,ppg_red_sdnn,ppg_red_pnn50,ppg_red_pnn20,ppg_red_mean_ibi,ppg_red_cv_ibi,ppg_red_peak_quality
ppg_red_n_peaks,0.0,0.637165639922733,0.3093748993449993,0.5869882420091885,0.6564171453781701,0.46813968284824387,0.6196750555935506,0.26714396915113725,0.29447612698710907,0.23103359648639402,0.13796440127260418,0.5823070240429136,0.023624470908446348,0.0773908167665164
ppg_red_hr_mean,0.637165639922733,0.0,0.4897262813230379,0.97078343853748,0.9798704006227754,0.5917246107135212,0.9918876720202505,0.42309509109008586,0.4344132593017344,0.3339673165698337,0.17612927586502447,0.9468041344130799,0.01249637869686233,0.08586561880979016
ppg_red_hr_std,0.3093748993449993,0.4897262813230379,0.0,0.30939256518134034,0.6123812233483547,0.890336118973691,0.4774898854436134,0.44956072424498,0.47207609665275774,0.3045977238470712,0.18529503600518538,0.47644211994112307,0.8506645318294137,0.06231346401376156
ppg_red_hr_min,0.5869882420091885,0.97078343853748,0.30939256518134034,0.0,0.9185544810842351,0.40153329100809043,0.9569146597590008,0.5560403113288498,0.5733727853229514,0.4284371367066634,0.231398581845535,0.9264812534388625,0.17474831544369118,0.1493388398464233
ppg_red_hr_max,0.6564171453781701,0.9798704006227754,0.6123812233483547,0.9185544810842351,0.0,0.727688676653128,0.9614316104905372,0.30044116318657726,0.3115772248717517,0.24218750605973577,0.11343326709157381,0.9269266419394919,0.1496628263261704,0.024118591562530094
ppg_red_hr_range,0.46813968284824387,0.5917246107135212,0.890336118973691,0.40153329100809043,0.727688676653128,0.0,0.5734401605282716,0.26034100118549736,0.2653661922336096,0.1867394360747046,0.15845323839244904,0.5557324259747378,0.655195428162174,0.12954728340235358
ppg_red_hr_median,0.6196750555935506,0.9918876720202505,0.4774898854436134,0.9569146597590008,0.9614316104905372,0.5734401605282716,0.0,0.4258038368685865,0.43362807736928116,0.3403869722819815,0.18794153337169134,0.9388292667171378,0.013144819100593468,0.09568609888857815
ppg_red_rmssd,0.26714396915113725,0.42309509109008586,0.44956072424498,0.5560403113288498,0.30044116318657726,0.26034100118549736,0.4258038368685865,0.0,0.963484741037224,0.6479895440511352,0.3853589433332942,0.45470974049041146,0.8154619467040541,0.0969657409599091
ppg_red_sdnn,0.29447612698710907,0.4344132593017344,0.47207609665275774,0.5733727853229514,0.3115772248717517,0.2653661922336096,0.43362807736928116,0.963484741037224,0.0,0.5927323076800702,0.3396165893144249,0.46512768284929307,0.8532060210141738,0.09565330401735854
ppg_red_pnn50,0.23103359648639402,0.3339673165698337,0.3045977238470712,0.4284371367066634,0.24218750605973577,0.1867394360747046,0.3403869722819815,0.6479895440511352,0.5927323076800702,0.0,0.5590719177605352,0.3252602050183994,0.5259798964878314,0.00697924746425951
ppg_red_pnn20,0.13796440127260418,0.17612927586502447,0.18529503600518538,0.231398581845535,0.11343326709157381,0.15845323839244904,0.18794153337169134,0.3853589433332942,0.3396165893144249,0.5590719177605352,0.0,0.15008647697564353,0.311404111512405,0.08340715836219317
ppg_red_mean_ibi,0.5823070240429136,0.9468041344130799,0.47644211994112307,0.9264812534388625,0.9269266419394919,0.5557324259747378,0.9388292667171378,0.45470974049041146,0.46512768284929307,0.3252602050183994,0.15008647697564353,0.0,0.01578307996662584,0.1778797926479174
ppg_red_cv_ibi,0.023624470908446348,0.01249637869686233,0.8506645318294137,0.17474831544369118,0.1496628263261704,0.655195428162174,0.013144819100593468,0.8154619467040541,0.8532060210141738,0.5259798964878314,0.311404111512405,0.01578307996662584,0.0,0.018874467346936714
ppg_red_peak_quality,0.0773908167665164,0.08586561880979016,0.06231346401376156,0.1493388398464233,0.024118591562530094,0.12954728340235358,0.09568609888857815,0.0969657409599091,0.09565330401735854,0.00697924746425951,0.08340715836219317,0.1778797926479174,0.018874467346936714,0.0
