,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ppg_red_n_peaks,-0.3474742699559699,0.04596837754619532,-0.18745707585303173,-0.2603027737334106,-0.8659455940845397,0.08606515257797055,0.04539847561901631,-0.11598090118080269,0.025344971568900997,-0.018856550149282458,0.021710370479595203
ppg_red_hr_std,-0.2948786317289293,-0.39804201144977275,0.002307214249864749,0.21246734902385875,0.06630135530824806,0.0423029400546594,-0.1311833186166298,-0.25394456645773206,0.48606774182716633,0.6183212935925781,0.054736330779988
ppg_red_hr_min,-0.43259532777968157,0.16186044195138513,0.13214953429093723,-0.07016185072023791,0.1812761084471574,-0.14171806417359736,0.4697312471743872,0.22727014545911864,0.288354562161127,-0.17246930575797487,0.5710850017826129
ppg_red_hr_max,-0.4721323674942977,-0.016302031812918744,-0.0014693993458004685,-0.06787394819702376,0.1523903081488626,-0.07805591137882631,0.13857288946330318,0.3228283824789354,0.13462752696233765,-0.09908857087746556,-0.7691144140523682
ppg_red_hr_range,-0.3453666507610249,-0.3216031515592744,-0.1627889929831647,-0.013217905944287197,0.07518234544530562,0.07597628571861365,-0.583999367943017,0.4681566664994463,-0.30330752098666564,-0.0976771931141448,0.27826484979156874
ppg_red_rmssd,0.15780107499382795,-0.4631077959759442,-0.10621370684057364,0.18648606417197147,-0.13866468003380236,0.12192898569053053,0.6020264773563929,0.33656591096638455,-0.3627629424764159,0.2703691798246663,0.008250918102779267
ppg_red_pnn50,0.14432718339811623,-0.39758239752213315,0.1484519846025831,-0.3077424365201076,-0.09881795156779201,-0.831105671269008,-0.039285857195398316,-0.024964507735048203,0.008879950467038156,-0.04008761749229285,0.0006341601074280805
ppg_red_pnn20,0.08258448624007234,-0.28959903461812436,0.34913796614294673,-0.7331565151666566,0.15306448111028506,0.468395935691358,0.04301310776364578,-0.048299474480759164,0.05369657731047897,0.002301990978471315,-0.0011534493012457184
ppg_red_mean_ibi,0.4517788986220874,-0.0684856604762397,-0.15779984844442926,0.031346325293391084,-0.2018889485366549,0.09899722180972523,-0.10306221034952508,0.5103609007303723,0.6496834853644547,-0.1469144351759003,-9.331868395599643e-05
ppg_red_cv_ibi,-0.07216929598198313,-0.4979282091536403,-0.03251841818375658,0.30418994583085285,0.005179608769827662,0.14787252128299813,0.08929999824163054,-0.373932545979597,0.1067823652227891,-0.686870287370297,-0.01958841136225568
ppg_red_peak_quality,0.03343826745919885,-0.022920249939553383,-0.8600661046366492,-0.34187829714182766,0.30132797328661326,-0.046790173677041656,0.12409298514760338,-0.1746240634784649,0.04215652857886117,0.01147673610788501,0.031187838827794377
