,ppg_red_n_peaks,ppg_red_peak_quality,ppg_red_hr_mean,ppg_red_hr_std,ppg_red_hr_min,ppg_red_hr_max,ppg_red_hr_range,ppg_red_hr_median,ppg_red_rmssd,ppg_red_sdnn,ppg_red_pnn50,ppg_red_pnn20,ppg_red_mean_ibi,ppg_red_cv_ibi
ppg_red_n_peaks,0.0,0.1489954014124631,0.6927952711765201,0.19748039670951822,0.6512691537409222,0.6802173218206211,0.34364958332237133,0.6911628125863349,0.38019158534467046,0.37419149735917223,0.4288625651024721,0.43958848442228754,0.6626886615907555,0.0989189438974698
ppg_red_peak_quality,0.1489954014124631,0.0,0.015713923605999918,0.014108166293423015,0.019968478870624775,0.0215988924986154,0.11888815259699259,0.027493950374619894,0.09514248122760424,0.09559001273947462,0.00912871580151821,0.17862431533719833,0.12891660538940755,0.01706945608082105
ppg_red_hr_mean,0.6927952711765201,0.015713923605999918,0.0,0.289583557804433,0.9626501975995225,0.9777277401544344,0.41267326017663813,0.9924374153804111,0.4962010466659309,0.48847881830645706,0.5523962413329168,0.49730502194881593,0.9522375682413582,0.11099205311098392
ppg_red_hr_std,0.19748039670951822,0.014108166293423015,0.289583557804433,0.0,0.059797087859618424,0.43941850355369133,0.9220810574633359,0.3024567310954675,0.49825158802756736,0.546731782775198,0.33138019060115187,0.14686864846317008,0.315122347445694,0.8850817515837548
ppg_red_hr_min,0.6512691537409222,0.019968478870624775,0.9626501975995225,0.059797087859618424,0.0,0.9091147384327578,0.17604353285715624,0.9402819522085433,0.6223703886304802,0.6302288454504305,0.6306579259553605,0.5262357931544157,0.9147918838269616,0.33171031301358
ppg_red_hr_max,0.6802173218206211,0.0215988924986154,0.9777277401544344,0.43941850355369133,0.9091147384327578,0.0,0.5695700972058755,0.9620755441937027,0.38496497495181103,0.36927212364395956,0.44561252904166254,0.40827653618984405,0.9407250152979959,0.03524074727867739
ppg_red_hr_range,0.34364958332237133,0.11888815259699259,0.41267326017663813,0.9220810574633359,0.17604353285715624,0.5695700972058755,0.0,0.42069197032047867,0.3207592549178296,0.3728046799119785,0.1918778025566068,0.062416891331053735,0.4153629819630787,0.7390045211837853
ppg_red_hr_median,0.6911628125863349,0.027493950374619894,0.9924374153804111,0.3024567310954675,0.9402819522085433,0.9620755441937027,0.42069197032047867,0.0,0.48265925180561375,0.4707097791767602,0.5592311530044175,0.5151134463852299,0.9407696950791143,0.08564708516412142
ppg_red_rmssd,0.38019158534467046,0.09514248122760424,0.4962010466659309,0.49825158802756736,0.6223703886304802,0.38496497495181103,0.3207592549178296,0.48265925180561375,0.0,0.9689390875707059,0.7111030040933435,0.46179584607843904,0.49909746290978024,0.8142547658227878
ppg_red_sdnn,0.37419149735917223,0.09559001273947462,0.48847881830645706,0.546731782775198,0.6302288454504305,0.36927212364395956,0.3728046799119785,0.4707097791767602,0.9689390875707059,0.0,0.6734872832711412,0.43870379622641614,0.48771642118595415,0.8622943833165658
ppg_red_pnn50,0.4288625651024721,0.00912871580151821,0.5523962413329168,0.33138019060115187,0.6306579259553605,0.44561252904166254,0.1918778025566068,0.5592311530044175,0.7111030040933435,0.6734872832711412,0.0,0.6498485607589451,0.5070641775724366,0.5571112188847638
ppg_red_pnn20,0.43958848442228754,0.17862431533719833,0.49730502194881593,0.14686864846317008,0.5262357931544157,0.40827653618984405,0.062416891331053735,0.5151134463852299,0.46179584607843904,0.43870379622641614,0.6498485607589451,0.0,0.425567314822225,0.32223739995331085
ppg_red_mean_ibi,0.6626886615907555,0.12891660538940755,0.9522375682413582,0.315122347445694,0.9147918838269616,0.9407250152979959,0.4153629819630787,0.9407696950791143,0.49909746290978024,0.48771642118595415,0.5070641775724366,0.425567314822225,0.0,0.07783855924278908
ppg_red_cv_ibi,0.0989189438974698,0.01706945608082105,0.11099205311098392,0.8850817515837548,0.33171031301358,0.03524074727867739,0.7390045211837853,0.08564708516412142,0.8142547658227878,0.8622943833165658,0.5571112188847638,0.32223739995331085,0.07783855924278908,0.0
