bout_id,t_start,t_end,duration_sec,task_name,rmssd_end,rmssd_recovery,delta_rmssd,qc_ok,effort,subject_id,eda_cc_std,eda_cc_range,eda_cc_iqr,eda_cc_mad,eda_cc_mean_abs_diff,eda_cc_kurtosis,acc_z_dyn__quantile_0.4,acc_z_dyn__sum_of_absolute_changes,acc_x_dyn__cardinality,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__cardinality_r,ppg_infra_mean_cross_rate,ppg_red_zcr,ppg_red_mean_cross_rate,rmssd_during_effort
1,1764866798.854,1764866815.848,16.99399995803833,Sit to lying,0.2996376392307048,0.07415176482769692,-0.22548587440300788,True,1.0,parsingsim3_sim_elderly3,0.04811228750746924,0.16614583333331248,0.08307291666667044,0.041666666666668996,0.0005208333333332334,-1.2000000000000042,-9.961766656578703,3257.287783993626,319.8333333333333,5.773175067786731,320.0,0.0705329153605015,0.06739811912225702,0.06635318704284215,0.11622871668969478
2,1764866830.706,1764866894.196,63.49000000953674,Resting,0.08790652052963117,0.20483434421035115,0.11692782368071998,True,0.5,parsingsim3_sim_elderly3,0.0859767728322972,0.2966517857142754,0.14833209325396432,0.07406994047619331,0.0009299429019255763,-1.1846976351695897,-0.7723760380827219,794.960611439231,312.8095238095238,0.3693836996086755,315.6190476190476,0.08329601433049703,0.0841916703985669,0.09150619495447077,0.08355972781549259
3,1764866900.047,1764866980.527,80.48000001907349,Turn Over (right),0.35947882445018053,0.3588721642776793,-0.0006066601725012166,True,2.0,parsingsim3_sim_elderly3,0.10604988816312934,0.36610725308641023,0.18305844907406393,0.09166666666666909,0.001147671639769252,-1.195983474848609,-2.8223133761608854,2222.9290144459587,316.22222222222223,1.5400138649306196,317.037037037037,0.07674445605480083,0.08220132358063388,0.07674445605480083,0.27776095869220196
4,1764866992.917,1764867056.705,63.787999868392944,Turn Over (left),0.3182968521233536,0.1630760082196883,-0.15522084390366533,True,2.0,parsingsim3_sim_elderly3,0.16841205063981568,0.5814732142857062,0.290742807539677,0.14568452380952598,0.0018228000447827286,-1.197409131830498,-3.414514448804541,2591.9343298784074,318.2857142857143,3.5383708649965797,316.9047619047619,0.07971339005821758,0.08389311837587694,0.08240035826242717,0.3443974726106813
5,1764867069.211,1764867083.804,14.592999935150146,Lying to Sit,0.14623699681792568,0.16863016539535158,0.022393168577425904,True,1.5,parsingsim3_sim_elderly3,0.19244915002987723,0.6645833333333115,0.3322916666666842,0.1666666666666714,0.00208333333333325,-1.2000000000000002,-13.28817262835818,5381.123230261139,319.75,10.027988754594524,320.0,0.07210031347962377,0.091692789968652,0.09169278996865203,0.1280153875638589
6,1764867106.082,1764867116.649,10.566999912261963,Transfer from Bed,0.17088365798467994,0.12181892738121362,-0.04906473060346632,True,0.5,parsingsim3_sim_elderly3,0.19244915002987717,0.6645833333333163,0.3322916666666534,0.16666666666666194,0.0020833333333332665,-1.2000000000000017,-31.530016761407868,5869.213102240529,320.0,13.96940744517115,320.0,0.0721003134796238,0.07314524555903863,0.0721003134796238,0.1741241335001771
7,1764867128.562,1764867135.466,6.9040000438690186,Sit to Stand,0.18840994016553134,0.08293811510733,-0.10547182505820134,True,1.5,parsingsim3_sim_elderly3,0.19244915002987717,0.6645833333333163,0.3322916666666629,0.1666666666666714,0.0020833333333332665,-1.200000000000001,-9.045531401445638,3519.811190809422,319.6666666666667,7.792672585791419,319.6666666666667,0.07210031347962377,0.0783699059561128,0.07836990595611283,0.40625
8,1764867142.704,1764867353.034,210.32999992370605,Stand,0.042987461384731133,0.2239775117064168,0.18099005032168566,True,5.0,parsingsim3_sim_elderly3,0.19256795611425234,0.6650520833333144,0.33229166666667503,0.16644717261905148,0.002084802769069908,-1.1955799815961001,-2.6266924816869204,1184.195597441485,318.0857142857143,1.3568073591105343,317.9,0.11540528437080155,0.12060008956560676,0.11854008060904607,0.055850622938423466
9,1764867354.758,1764867357.706,2.948000192642212,Stand to Sit,0.04737600922880661,0.21913239126553907,0.17175638203673246,True,1.5,parsingsim3_sim_elderly3,0.1924491500298774,0.6645833333333258,0.3322916666666913,0.1666666666666856,0.0020833333333333,-1.1999999999999966,-5.505943905869901,2127.076015683921,317.0,3.3288419385739805,318.0,0.0783699059561128,0.0971786833855799,0.0909090909090909,
10,1764867406.917,1764867415.447,8.52999997138977,Sit to Stand,0.22854084148195614,0.12388817032255173,-0.10465267115940441,True,2.0,parsingsim3_sim_elderly3,0.19244915002987717,0.6645833333333163,0.3322916666666534,0.16666666666666194,0.0020833333333332665,-1.2000000000000017,-12.647615059254752,2627.6713923851094,319.0,6.9544351636571315,318.3333333333333,0.1034482758620689,0.0752351097178683,0.0752351097178683,0.16209760875973772
